"name[Blue Spice], eatType[coffee shop], area[city centre]"	The Blue Spice is a coffee shop in the city centre that is not family-friendly.
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	A coffee shop near All Bar One is Clowns. It has a customer rating of 3 out of 5.
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	If you are looking for a coffee shop near Crowne Plaza Hotel then the Clowns is a 5 out of 5 rated restaurant.
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	There is a coffee shop near The Sorrento called Clowns. It is located near the riverside.
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	If you are looking for a pub near All Bar One then you can get Clowns. It has a customer rating of 3 out of 5.
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Near Crowne Plaza Hotel is a pub called Clowns with a customer rating of 5 out of 5.
"name[Clowns], eatType[pub], near[The Sorrento]"	If you are looking for a pub near The Sorrento then you can get Clowns.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	If you are looking for a coffee shop near Burger King then the Cocum is a highly rated restaurant.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	If you are looking for a coffee shop near Café Sicilia then the Cocum is a highly rated restaurant.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	The Cocum is a coffee shop near Café Sicilia with a low customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	The Cocum is a coffee shop near Express by Holiday Inn with a low customer rating.
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	Near The Rice Boat is a coffee shop called Cocum.
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	Near The Sorrento is a coffee shop called Cocum.
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	A pub near Burger King is Cocum. It has a high customer rating.
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	If you are looking for a pub near Café Sicilia then you can get Cocum. It has a high customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	A pub near Café Sicilia is Cocum. It has a low customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	If you are looking for a pub near Express by Holiday Inn then you can get Cocum. It has a low customer rating.
"name[Cocum], eatType[pub], near[The Rice Boat]"	The Cocum is a pub near The Rice Boat.
"name[Cocum], eatType[pub], near[The Sorrento]"	The Cocum is a pub near The Sorrento.
"name[Cotto], eatType[coffee shop], near[The Bakers]"	There is a coffee shop near The Bakers called Cotto. It is located near the riverside.
"name[Cotto], eatType[pub], near[The Bakers]"	The Cotto is a pub near The Bakers.
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	For a cheap coffee shop near The Bakers is Giraffe.
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	If you are looking for a coffee shop near The Rice Boat in the city centre there is Giraffe. It is a family friendly place to eat you can eat for less than £20.
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	There is a pub called Giraffe that serves English food in the riverside area near Rainbow Vegetarian Café. It is family friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The Giraffe is a pub that serves Fast food near Rainbow Vegetarian Café in the city centre. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Located in the city centre near Rainbow Vegetarian Café, Giraffe is a family friendly pub serving Fast food."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Near Rainbow Vegetarian Café in the riverside area is a pub called Giraffe. It serves Fast food and is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Giraffe is a family friendly pub serving Fast food near Rainbow Vegetarian Café in the riverside area.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a family friendly pub that serves Fast food in the riverside area near Raja Indian Cuisine is Giraffe.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	A French pub near Raja Indian Cuisine in the city centre is Giraffe. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly pub serving French food near Raja Indian Cuisine in the city centre.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	In the riverside area near Raja Indian Cuisine is a pub called Giraffe that serves French food. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Located near Raja Indian Cuisine in the riverside area, Giraffe is a family friendly pub serving French food."
"name[Giraffe], eatType[pub], near[The Bakers]"	The Giraffe is a pub near The Bakers.
"name[Giraffe], eatType[pub], near[The Rice Boat]"	Near The Rice Boat is a pub called Giraffe.
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a restaurant that serves English food and is kid friendly. It is located in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	There is a restaurant Giraffe located in the city centre near Rainbow Vegetarian Café. It serves Fast food and is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Located in the city centre near Rainbow Vegetarian Café, Giraffe is a family friendly restaurant that serves Fast food."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a restaurant that serves Fast food in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a restaurant that serves Fast food and is kid friendly. It is located in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a restaurant that serves Fast food and is kid friendly. It is located in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	A French restaurant near Raja Indian Cuisine in the city centre is Giraffe. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a family-friendly restaurant that serves French food in the city centre near Raja Indian Cuisine is Giraffe.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a restaurant that serves French food in the riverside area near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	There is a restaurant called Giraffe that serves French food and is located in the riverside area near Raja Indian Cuisine.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	"With a customer rating of 1 out of 5, Green Man is a coffee shop near All Bar One."
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	The Green Man is a coffee shop near All Bar One with a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Near All Bar One is a pub called Green Man with a customer rating of 1 out of 5.
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	"Located near All Bar One, Green Man is a pub with a customer rating of 3 out of 5."
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	If you are looking for a family friendly pub that serves Italian food in the riverside area near Express by Holiday Inn is Green Man.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Green Man is a family friendly pub serving Italian food near Raja Indian Cuisine in the riverside area.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Near Express by Holiday Inn in the city centre is a pub called Green Man. It serves Japanese food and is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	If you are looking for a family-friendly pub that serves Japanese food in the city centre near Express by Holiday Inn is Green Man.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	There is a pub called Green Man that serves Japanese food in the riverside area near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	"Located near Express by Holiday Inn in the riverside area, Green Man is a family friendly pub serving Japanese food."
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	If you are looking for a family friendly restaurant that serves Italian food in the riverside area near Express by Holiday Inn is Green Man.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	There is a restaurant called Green Man that serves Italian food and is located in the riverside area near Raja Indian Cuisine.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	A Japanese restaurant near Express by Holiday Inn in the city centre is Green Man. It is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	For a family friendly restaurant that serves Japanese food in the city centre near Express by Holiday Inn is Green Man.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The Green Man is a restaurant that serves Japanese food in the riverside area near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	There is a restaurant called Green Man that serves Japanese food and is located in the riverside area near Express by Holiday Inn.
"name[Loch Fyne], eatType[coffee shop], area[riverside]"	For a cheap restaurant in the riverside area then to to Loch Fyne.
"name[Loch Fyne], eatType[pub], area[riverside]"	A pub named Loch Fyne is located in the riverside area.
"name[Strada], eatType[coffee shop], area[city centre]"	The Strada is a coffee shop in the city centre that is not family-friendly.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Near All Bar One is a coffee shop called Strada. It has a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	"With a customer rating of 1 out of 5, Strada is a coffee shop near Rainbow Vegetarian Café."
"name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	A coffee shop near Express by Holiday Inn is Strada. It has a low customer rating.
"name[Strada], eatType[pub], area[city centre]"	If you are looking for a pub called Strada in the city centre.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	A pub near All Bar One is Strada. It has a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	A pub near Rainbow Vegetarian Café is Strada. It has a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	A pub near Express by Holiday Inn is Strada. It has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	If you are looking for a coffee shop near Avalon then you can get The Cricketers. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	If you are looking for a kid friendly coffee shop near Avalon is The Cricketers. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	A child friendly coffee shop near Crowne Plaza Hotel is The Cricketers. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	"Near Crowne Plaza Hotel, there is a coffee shop called The Cricketers. It is not family-friendly and has a customer rating of 5 out of 5."
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is family friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The Cricketers is a coffee shop near Café Sicilia with an average customer rating. It is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	"With an average customer rating, The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly."
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	A children friendly coffee shop near Café Sicilia is The Cricketers. It has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	A child friendly coffee shop near Café Sicilia is The Cricketers. It has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The Cricketers is a coffee shop near Express by Holiday Inn. It is kid friendly and has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	"Near Express by Holiday Inn, there is a coffee shop called The Cricketers. It is not family-friendly and has a low customer rating."
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]"	"Located near Ranch, The Cricketers is a coffee shop with a low customer rating. It is not family-friendly."
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]"	If you are looking for a family friendly coffee shop near Ranch is The Cricketers. It has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	A restaurant named The Cricketers is located near Avalon. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a kid friendly restaurant near Avalon. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	A restaurant near Crowne Plaza Hotel is The Cricketers. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	A restaurant near Crowne Plaza Hotel is The Cricketers. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	Near Crowne Plaza Hotel is a family friendly restaurant called The Cricketers.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]"	"Near Café Sicilia, there is a restaurant called The Cricketers. It has an average customer rating and is not family-friendly."
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a restaurant near Crowne Plaza Hotel with an average customer rating. It is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	A restaurant named The Cricketers is located near Café Sicilia. It has an average customer rating and is family friendly.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a restaurant near Café Sicilia with a high customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	If you are looking for a kid friendly restaurant near Express by Holiday Inn is The Cricketers.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The Cricketers is a restaurant near Express by Holiday Inn with a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]"	"Near Ranch, there is a restaurant called The Cricketers. It has a low customer rating and is not family-friendly."
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]"	The Cricketers is a family friendly restaurant near Ranch. It has a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	In the city centre near All Bar One is a Chinese restaurant called The Cricketers. It has a high customer rating and a price range of £20-25.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	This restaurant The Cricketers is a family friendly Chinese restaurant with a high customer rating and a price range of £20-25. It is located in the city centre near All Bar One.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	Next to the river is a restaurant called The Cricketers that serves Chinese food with a price range of £20-25. It is not child friendly and has a high customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	If you are looking for a kid friendly restaurant that serves Chinese food in the riverside area near All Bar One is The Cricketers. It has a high customer rating and a price range of £20-25.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	"Located in the city centre near All Bar One, The Cricketers is a cheap Chinese restaurant with a customer rating of 5 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a cheap Chinese restaurant located in the city centre near All Bar One. It is family friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a cheap restaurant that serves Chinese food in the riverside area near All Bar One. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	There is a cheap restaurant The Cricketers located near All Bar One in the riverside area. It is family friendly and has a 5 out of 5 customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	Near All Bar One in the city centre is a Chinese restaurant called The Cricketers. It has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	There is a cheap Chinese restaurant called The Cricketers located in the city centre near All Bar One. It has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	In the riverside area near All Bar One is a Chinese restaurant called The Cricketers. It has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a cheap restaurant that serves Chinese food. It is located in the riverside area near All Bar One. It is family friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a high priced Chinese restaurant located in the city centre near All Bar One. It is not child friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a high priced restaurant that serves Chinese food. It is located in the city centre near All Bar One. It is child friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. It is not child friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	At the riverside area is a high priced restaurant called The Cricketers. It is near All Bar One. It is child friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a high priced Chinese restaurant located in the city centre near All Bar One. It has an average customer rating and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a children friendly Chinese restaurant with an average customer rating and a high price range. It is located in the city centre near All Bar One.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	Along the riverside near All Bar One is a high priced Chinese restaurant called The Cricketers. It has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. It has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a low customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]"	"Located in the city centre near All Bar One, The Cricketers is a family friendly restaurant that serves Chinese food for less than £20."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a restaurant that serves Chinese food for less than £20. It is located in the riverside area near All Bar One. It is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a family friendly restaurant that serves Chinese food for less than £20. It is located near All Bar One in the riverside area.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a moderately priced Chinese restaurant located in the city centre near All Bar One. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	There is a moderately priced Chinese restaurant called The Cricketers located in the city centre near All Bar One. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a moderately priced Chinese restaurant located near All Bar One in the riverside area. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a moderately priced Chinese restaurant located near All Bar One in the riverside area. It is kid friendly and has a customer rating of 1 out of 5.
