"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in the city centre.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly chinese restaurant in the riverside area near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is an english restaurant located in the city centre near rainbow vegetarian café. it is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly english restaurant in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a non family-friendly english restaurant near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly restaurant located near rainbow vegetarian café.
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Clowns is a coffee shop near all bar one. it has a customer rating of 3 out of 5.
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a highly rated coffee shop near crowne plaza hotel.
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	Clowns is a coffee shop near the sorrento.
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Clowns is a pub near all bar one with a customer rating of 3 out of 5.
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a pub near crowne plaza hotel with a customer rating of 5 out of 5.
"name[Clowns], eatType[pub], near[The Sorrento]"	Clowns is a pub near the sorrento.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	Cocum is a highly rated coffee shop near burger king.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	Cocum is a highly rated coffee shop near café sicilia.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	Cocum is a coffee shop near café sicilia with a low customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Cocum is a coffee shop near express by holiday inn with a low customer rating.
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	Cocum is a coffee shop near the rice boat.
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	Cocum is a coffee shop near the sorrento.
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	Cocum is a high rated pub near burger king.
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	Cocum is a high rated pub near café sicilia.
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	Cocum is a low rated pub near café sicilia.
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Cocum is a low rated pub near express by holiday inn.
"name[Cocum], eatType[pub], near[The Rice Boat]"	Cocum is a pub near the rice boat.
"name[Cocum], eatType[pub], near[The Sorrento]"	Cocum is a pub near the sorrento.
"name[Cotto], eatType[coffee shop], near[The Bakers]"	Cotto is a coffee shop near the bakers.
"name[Cotto], eatType[pub], near[The Bakers]"	Cotto is a pub near the bakers.
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	Giraffe is a coffee shop near the bakers.
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	Giraffe is a coffee shop near the rice boat.
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub located near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food pub in the city centre near rainbow vegetarian café. it is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly fast food pub in the city centre near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food pub near rainbow vegetarian café in the riverside area. it is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub located near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub located near raja indian cuisine.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french pub located near raja indian cuisine in the city centre. it is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly french pub in the city centre near raja indian cuisine.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french pub near raja indian cuisine in the riverside area. it is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub located near raja indian cuisine.
"name[Giraffe], eatType[pub], near[The Bakers]"	Giraffe is a pub near the bakers.
"name[Giraffe], eatType[pub], near[The Rice Boat]"	Giraffe is a pub near the rice boat.
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly restaurant located near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant located in the city centre near rainbow vegetarian café. it is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly fast food restaurant in the city centre near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant near rainbow vegetarian café in the riverside area. it is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly restaurant located near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly restaurant located near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant located in the city centre near raja indian cuisine. it is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly french restaurant in the city centre near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant located in riverside near raja indian cuisine. it is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly restaurant located near raja indian cuisine.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Green man is a coffee shop near all bar one with a customer rating of 1 out of 5.
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Green man is a coffee shop near all bar one. it has a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Green man is a pub near all bar one with a customer rating of 1 out of 5.
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Green man is a pub near all bar one with a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly pub located near express by holiday inn.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green man is a family friendly pub located near raja indian cuisine.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a family-friendly japanese pub in the city centre near express by holiday inn.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family-friendly japanese pub in the city centre near express by holiday inn.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a japanese pub near express by holiday inn in the riverside area. it is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly pub located near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly restaurant located near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green man is a family friendly restaurant located near raja indian cuisine.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a japanese restaurant located in the city centre near express by holiday inn. it is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family-friendly japanese restaurant in the city centre near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a japanese restaurant near express by holiday inn in the riverside area. it is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly restaurant located near express by holiday inn.
"name[Loch Fyne], eatType[coffee shop], area[riverside]"	Loch fyne is a coffee shop in the riverside area.
"name[Loch Fyne], eatType[pub], area[riverside]"	Loch fyne is a pub in the riverside area.
"name[Strada], eatType[coffee shop], area[city centre]"	Strada is a coffee shop in the city centre.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Strada is a coffee shop near all bar one with a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a coffee shop near rainbow vegetarian café with a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Strada is a coffee shop near express by holiday inn with a low customer rating.
"name[Strada], eatType[pub], area[city centre]"	Strada is a pub in the city centre.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Strada is a pub near all bar one with a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a pub near rainbow vegetarian café with a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Strada is a low rated pub near express by holiday inn.
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a family friendly coffee shop near avalon. it has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a kid friendly coffee shop near avalon. it has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a kid friendly coffee shop near crowne plaza hotel. it has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a coffee shop near crowne plaza hotel. it has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a family friendly coffee shop near crowne plaza hotel. it has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The cricketers is a coffee shop near café sicilia. it has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a coffee shop near crowne plaza hotel. it has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a family friendly coffee shop near café sicilia. it has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a children friendly coffee shop near café sicilia. it has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The cricketers is a children friendly coffee shop near express by holiday inn. it has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The cricketers is a coffee shop near express by holiday inn. it is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]"	The cricketers is a coffee shop near ranch. it is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]"	The cricketers is a family friendly coffee shop located near ranch.
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a kid friendly restaurant located near avalon.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a family friendly restaurant located near avalon.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a family friendly restaurant located near crowne plaza hotel.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a non-family-friendly restaurant located near crowne plaza hotel.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a family friendly restaurant near crowne plaza hotel. it has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The cricketers is a restaurant near café sicilia. it has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a restaurant near crowne plaza hotel. it has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a family friendly restaurant near café sicilia.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a child friendly restaurant located near café sicilia.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The cricketers is a child friendly restaurant located near express by holiday inn.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The cricketers is a low rated restaurant near express by holiday inn.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]"	The cricketers is a low rated restaurant near ranch.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]"	The cricketers is a family friendly restaurant located near ranch. it has a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the £20-25 price range. it is located in the city centre. it is near all bar one. its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the £20-25 price range. it is located in the city centre. it is near all bar one. its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the £20-25 price range. it is located in the riverside. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the £20-25 price range. it is located in the riverside. it is near all bar one. its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant located in the city centre near all bar one. it has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a cheap family friendly chinese restaurant located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a cheap family friendly chinese restaurant with a customer rating of 5 out of 5. it is located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant located in the city centre near all bar one. it has an average customer rating and is not family friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a cheap family friendly chinese restaurant in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant located in the riverside area near all bar one. it has an average customer rating and is not family friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a cheap family friendly chinese restaurant in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a high priced chinese restaurant located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a child friendly chinese restaurant in the high price range. it is located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a child friendly chinese restaurant in the high price range. it is located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a chinese restaurant in the high price range. it is located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a child friendly chinese restaurant in the high price range. it is located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a high priced chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a family friendly chinese restaurant in the high price range. it is located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a family friendly chinese restaurant in the less than £20 price range. it is located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a chinese restaurant in the low price range. it is located near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a family friendly chinese restaurant located near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant located near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant located in the city centre near all bar one. it has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the moderate price range. it is located in the city centre. it is near all bar one. its customer rating is 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant located near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the more than £30 price range. it is located in the city centre. it is near all bar one. its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a chinese restaurant in the more than £30 price range. it is located in the city centre. it is near all bar one. its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a children friendly chinese restaurant in the more than £30 price range. it is located in the riverside near all bar one.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is an english restaurant located in the city centre. it is located near all bar one.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a kid friendly english restaurant located in the city centre. it is located near all bar one.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is an english restaurant located near all bar one.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a family friendly restaurant located near all bar one.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The cricketers is a cheap english restaurant located in the city centre near café rouge. it has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The cricketers is a cheap, family-friendly english restaurant in the city centre near café rouge.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The cricketers is a cheap english restaurant near café rouge in riverside. it has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The cricketers is a family friendly restaurant located near café rouge.
