"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in the city centre with a coffee shop.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a english restaurant located in the city centre near rainbow vegetarian café
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly restaurant in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a restaurant in the riverside area near rainbow vegetarian café. it serves english food and is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly restaurant near rainbow vegetarian café.
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Clowns is a coffee shop near all bar one with 3 out of 5 customer rating.
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	Clowns is a coffee shop with coffee shop near the sorrento.
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Clowns is a pub near all bar one and has a customer rating of 3 out of 5.
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a pub near the crowne plaza hotel with a 5 out of 5 customer rating.
"name[Clowns], eatType[pub], near[The Sorrento]"	Clowns is a pub with pub near the sorrento.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	Cocum is a coffee shop with a high customer rating and is located near burger king.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	Cocum is a coffee shop with a high customer rating and is located near café sicilia.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	Cocum is a coffee shop located near café sicilia with a low customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Cocum is a coffee shop located near the express by holiday inn.
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	Cocum is a coffee shop with coffee shop near the rice boat.
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	Cocum is a coffee shop with coffee shop near the sorrento.
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	Cocum is a pub near burger king with high customer ratings.
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	Cocum is a pub near café sicilia with high customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	Cocum is a pub near café sicilia with low customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Cocum is a pub near express by holiday inn.
"name[Cocum], eatType[pub], near[The Rice Boat]"	Cocum is a pub with pub near the rice boat.
"name[Cocum], eatType[pub], near[The Sorrento]"	Cocum is a pub near to the sorrento.
"name[Cotto], eatType[coffee shop], near[The Bakers]"	Near the bakers is a coffee shop called cotto.
"name[Cotto], eatType[pub], near[The Bakers]"	Near the bakers is a pub called cotto.
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	Giraffe is a coffee shop near the bakers with coffee shop.
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	Giraffe is a coffee shop with coffee shop near the rice boat.
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub in the riverside area near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food pub located in the city centre near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly fast food pub located in the city centre near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food pub near rainbow vegetarian vegetarian in the riverside area. it is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly pub located near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a fast food pub in the riverside area near raja indian cuisine.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a pub located in the city centre near raja indian cuisine. it serves french food and is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly french pub located in the city centre near raja indian cuisine.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a pub in the riverside area near raja indian cuisine. it is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub that serves french food. it is located in riverside near raja indian cuisine.
"name[Giraffe], eatType[pub], near[The Bakers]"	Giraffe is a pub near the bakers
"name[Giraffe], eatType[pub], near[The Rice Boat]"	Giraffe is a pub with pub near the rice boat.
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The giraffe is a family friendly restaurant located near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant in the city centre near rainbow vegetarian café. it is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant in the city centre near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant near rainbow vegetarian café in the riverside area.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant located in riverside near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a fast food restaurant near raja indian cuisine in riverside.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant in the city centre near raja indian cuisine. it is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly french restaurant in the city centre near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant located in the riverside area near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a french restaurant in riverside near raja indian cuisine.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Green man is a coffee shop with a customer rating of 1 out of 5 and is near all bar one.
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Green man is a coffee shop with a customer rating of 3 out of 5. it is located near all bar one.
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Green man is a pub near all bar one and has a customer rating of 1 out of 5.
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Green man is a pub near all bar one and has a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly pub near express by holiday inn in riverside.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green man is a family friendly pub near raja raja indian cuisine in the riverside area.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a japanese pub located in the city centre near express by holiday inn. it is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family-friendly japanese pub located in the city centre near express by holiday inn
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a pub near the express by holiday inn in the riverside area. it serves japanese food and is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a pub that serves japanese food. it is family friendly and is located near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly italian restaurant located near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green man is a family friendly restaurant in the riverside area.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a japanese restaurant in the city centre near express by holiday inn. it is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly japanese restaurant located in the city centre near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a japanese restaurant in the riverside area near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly restaurant located near express by holiday inn.
"name[Loch Fyne], eatType[coffee shop], area[riverside]"	Loch fyne is a coffee shop located in the riverside area.
"name[Loch Fyne], eatType[pub], area[riverside]"	Loch fyne is a pub located in the riverside area.
"name[Strada], eatType[coffee shop], area[city centre]"	Strada is a coffee shop in the city centre with coffee shop.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Strada is a coffee shop with a customer rating of 1 out of 5. it is located near all bar one.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a coffee shop with a customer rating of 1 out of 5 and is located near rainbow vegetarian café.
"name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Strada is a coffee shop located near the express by holiday inn.
"name[Strada], eatType[pub], area[city centre]"	Strada is a pub in city centre.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Strada is a pub near all bar one and has a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a pub near rainbow vegetarian café with a 1 out of 5 customer rating.
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Strada is a low rated pub near the express by holiday inn.
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a family friendly coffee shop with a customer rating of 1 out of 5 and is located near avalon.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a children friendly coffee shop near avalon.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a family friendly coffee shop near crowne plaza hotel with a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a coffee shop located near the crowne plaza hotel. it is not family-friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a family-friendly coffee shop near the crowne plaza hotel.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The cricketers is a coffee shop near café sicilia with an average customer rating. it is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a coffee shop near the crowne plaza hotel. it has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a family-friendly coffee shop near café sicilia with an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a child friendly coffee shop near café sicilia with a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The cricketers is a child friendly coffee shop near express by holiday inn with a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The cricketers is a coffee shop near express by holiday inn. it is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]"	The cricketers is a coffee shop near ranch with a low customer rating and is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]"	The cricketers is a family friendly coffee shop near ranch and has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a child friendly restaurant with a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The cricketers is a child friendly restaurant with a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a family friendly restaurant located near crowne plaza hotel.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a restaurant located near the crowne plaza hotel. it is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The cricketers is a family friendly restaurant located near crowne plaza hotel.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The cricketers is a restaurant located near café sicilia. it is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The cricketers is a restaurant near the crowne plaza hotel that is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a family friendly restaurant near café sicilia with an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The cricketers is a family friendly restaurant near café sicilia.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The cricketers is a child friendly restaurant near the express by holiday inn.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The cricketers is a restaurant near express by holiday inn. it has a low customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]"	The cricketers is a family-friendly restaurant with a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]"	The cricketers is a family-friendly restaurant with a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the £20-25 price range. it is located in the city centre. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the £20-25 price range. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the average price range. it is located in the riverside. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the £20-25 price range. it is located in the riverside. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant located in the city centre near all bar bar. it is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a cheap chinese restaurant in the city centre near all bar one. it is family friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant in the riverside area near all bar one. its customer rating is 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a cheap, family friendly chinese restaurant in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant in the city centre near all bar one. it is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a family friendly chinese restaurant in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a cheap chinese restaurant in the riverside area near all bar one. it is not family friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a family friendly chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the high price range. it is near all bar one. its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the high price range. it is located in the city centre. its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the high price range. it is located in the riverside. its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the high price range. it is near all bar one. its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the high price range. it is near all bar one. its customer rating is average.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a chinese restaurant in the high price range. it is located in the city centre. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the high price range. it is located in the riverside.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the high price range. it is near all bar one. its customer rating is average.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the less than £20 price range. it is located in the city centre. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a family-friendly chinese restaurant located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a chinese restaurant in the riverside area near all bar one. it is not family friendly and has a price range of less than £20.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a family friendly chinese restaurant located in the riverside area near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the moderate price range. it is located in the city centre. its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the moderate price range. it is located in the city centre. it is near all bar one. its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the moderate price range. it is located in the riverside.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant that serves chinese food in the moderate price range. it is located in the riverside.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the moderate price range. it is located near all bar in the city centre.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the moderate price range. it is located in the city centre. its customer rating is 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a moderately priced chinese restaurant in the riverside area near all bar one. it is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the moderate price range. it is located in the riverside. its customer rating is 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the more than £30 price range. it is located near all bar one in the city centre.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the more than £30 price range. it is near all bar one in the city centre.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the more than £30 price range. it is located in the riverside. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a restaurant providing chinese food in the more than £30 price range. it is located in the riverside. its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The cricketers is a english restaurant located in the city centre near all bar one. it is not kid friendly and has a high customer rating.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The cricketers is a kid friendly english restaurant located in the city centre near all bar one.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The cricketers is a restaurant providing english food in the £20-25 price range. it is located in the riverside. it is near all bar one.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The cricketers is a kid friendly english restaurant located near all bar one in the riverside area.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The cricketers is a cheap english restaurant located in the city centre near café rouge
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The cricketers is a cheap family-friendly restaurant located in the city centre near café rouge.
