src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Cocum], eatType[pub], near[The Rice Boat]	Cocum is near The Rice Boat and it is a pub.	0.3417	0.4250	2.9507	0.3995	0.4485	3.8204
name[Cocum], eatType[pub], near[The Sorrento]	Cocum is near The Sorrento and it is a pub.	0.0000	0.2865	1.9091	0.4169	0.4861	3.4771
name[Cotto], eatType[coffee shop], near[The Bakers]	Well, Cotto is near The Bakers, it is a coffee shop.	0.0000	0.2723	2.5655	0.3825	0.4803	3.0496
name[Cotto], eatType[pub], near[The Bakers]	Cotto is near The Bakers and it is a pub.	0.0000	0.2950	2.8261	0.3602	0.5314	3.1712
name[Giraffe], eatType[coffee shop], near[The Bakers]	Well, Giraffe is near The Bakers, it is a coffee shop.	0.4453	0.4920	2.3727	0.4608	0.5092	4.2578
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Well, Giraffe is near The Rice Boat, it is a coffee shop.	0.3479	0.4033	2.6340	0.4308	0.6667	3.7672
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is in riverside near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a pub.	0.4087	0.4456	5.7024	0.3451	0.5324	1.6615
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is in city centre near Rainbow Vegetarian Café, it is a pub, it is a fast food restaurant and it is n 't family friendly.	0.3027	0.3354	3.7661	0.4219	0.5343	1.1623
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is in city centre near Rainbow Vegetarian Café, it is a fast food restaurant and family friendly and it is a pub.	0.4453	0.4709	3.9236	0.4675	0.6083	2.4767
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is in riverside near Rainbow Vegetarian Café, it is a pub, it is a fast food restaurant and it is n 't kid friendly.	0.3784	0.4054	4.1292	0.4034	0.5918	0.6497
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is in riverside near Rainbow Vegetarian Café, it is a fast food restaurant and family friendly and it is a pub.	0.6215	0.6418	7.1930	0.4344	0.6844	2.2980
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is in riverside near Raja Indian Cuisine, it is a fast food restaurant and family friendly and it is a pub.	0.3945	0.4319	5.4594	0.4136	0.5545	1.8944
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is n 't kid friendly, it 's near Raja Indian Cuisine in city centre, it is a french restaurant and it is a pub.	0.2732	0.3128	3.9551	0.3609	0.5301	0.9976
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is in city centre near Raja Indian Cuisine, it is a french restaurant and family friendly and it is a pub.	0.3107	0.3544	4.2879	0.3839	0.5455	1.9930
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a pub, it is near Raja Indian Cuisine in riverside, it is a french restaurant and it is n 't kid friendly.	0.3314	0.3560	4.1858	0.3488	0.5706	0.4362
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is in riverside near Raja Indian Cuisine, it is a pub and it is kid friendly and a french restaurant.	0.3776	0.4115	4.3146	0.4129	0.4986	1.7929
name[Giraffe], eatType[pub], near[The Bakers]	Giraffe is near The Bakers and it is a pub.	0.4692	0.5311	2.6165	0.4441	0.5669	4.5743
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe is near The Rice Boat and it is a pub.	0.3265	0.4090	2.9002	0.3927	0.6364	4.0340
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is an english restaurant and kid friendly, it is in riverside near Rainbow Vegetarian Café and it is a restaurant.	0.4087	0.4456	5.8197	0.3837	0.6854	1.6861
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is near Rainbow Vegetarian Café in city centre, it is a fast food restaurant and it is n 't family friendly.	0.4377	0.4664	4.6889	0.4182	0.4803	1.8634
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is in city centre near Rainbow Vegetarian Café, it is a fast food restaurant and family friendly and it is a restaurant.	0.4910	0.5142	4.2181	0.4945	0.6484	2.5343
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is near Rainbow Vegetarian Café in riverside, it is a fast food restaurant and it is n 't family friendly.	0.4581	0.4872	5.1649	0.5046	0.5365	1.1916
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a fast food restaurant and kid friendly, it is in riverside near Rainbow Vegetarian Café and it is a restaurant.	0.7048	0.7200	7.1227	0.4641	0.6989	2.3117
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a fast food restaurant and kid friendly, it is in riverside near Raja Indian Cuisine and it is a restaurant.	0.4511	0.4879	6.0824	0.4167	0.6978	1.9529
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is near Raja Indian Cuisine in city centre, it is a french restaurant and it is n 't family friendly.	0.3445	0.3808	4.2893	0.4140	0.5238	1.3302
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is in city centre near Raja Indian Cuisine, it is a french restaurant and family friendly and it is a restaurant.	0.3107	0.3544	4.2879	0.3839	0.5455	1.9579
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is near Raja Indian Cuisine in riverside, it is a french restaurant and it is n 't kid friendly.	0.4328	0.4633	4.4672	0.3680	0.5102	0.6153
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a french restaurant and kid friendly, it is in riverside near Raja Indian Cuisine and it is a restaurant.	0.4840	0.5103	5.1308	0.4235	0.6347	1.8669
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is near All Bar One with a 1 out of 5 rating and it is a coffee shop.	0.5121	0.5417	4.5742	0.4637	0.5533	2.8362
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Green Man is near All Bar One with a 3 out of 5 rating and it is a coffee shop.	0.7127	0.7279	5.9926	0.4535	0.6065	3.1139
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Green Man is near All Bar One with a 1 out of 5 rating and it is a pub.	0.5050	0.5360	4.5154	0.4507	0.5844	2.8041
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Green Man is near All Bar One with a 3 out of 5 rating and it is a pub.	0.7141	0.7298	6.0190	0.4433	0.6406	3.0627
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is in riverside near Express by Holiday Inn, it is an italian restaurant and family friendly and it is a pub.	0.5159	0.5426	6.5992	0.4218	0.6299	2.7499
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is in riverside near Raja Indian Cuisine, it is an italian restaurant and family friendly and it is a pub.	0.3785	0.4107	4.0734	0.3778	0.4200	2.0056
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is n 't kid friendly, it 's near Express by Holiday Inn in city centre, it is a japanese restaurant and it is a pub.	0.2811	0.3133	3.3895	0.3668	0.5682	1.9534
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is in city centre near Express by Holiday Inn, it is a japanese restaurant and family friendly and it is a pub.	0.3443	0.3795	4.0804	0.4737	0.4784	2.5298
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is in riverside near Express by Holiday Inn, it is a pub, it is a japanese restaurant and it is n 't kid friendly.	0.4036	0.4298	4.6630	0.4407	0.5834	1.6190
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is in riverside near Express by Holiday Inn, it is a japanese restaurant and kid friendly and it is a pub.	0.5880	0.6091	7.0815	0.4659	0.7145	2.7729
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is in riverside near Express by Holiday Inn, it is an italian restaurant and kid friendly and it is a restaurant.	0.6080	0.6285	7.4862	0.4732	0.6709	2.7733
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is in riverside near Raja Indian Cuisine, it is an italian restaurant and kid friendly and it is a restaurant.	0.3728	0.4049	3.8550	0.4264	0.4200	2.0124
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is near Express by Holiday Inn in city centre, it is a japanese restaurant and it is n 't family friendly.	0.3188	0.3560	4.0132	0.3968	0.6087	2.2588
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is in city centre near Express by Holiday Inn, it is a japanese restaurant and family friendly and it is a restaurant.	0.3902	0.4210	4.1204	0.4886	0.4998	2.6222
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is near Express by Holiday Inn in riverside, it is a japanese restaurant and it is n 't kid friendly.	0.3608	0.3983	4.4940	0.4517	0.5398	2.1514
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is near Express by Holiday Inn in riverside, it is a japanese restaurant and it is kid friendly.	0.8329	0.8419	8.3322	0.5081	0.7788	3.3572
name[Loch Fyne], eatType[coffee shop], area[riverside]	Loch Fyne is in riverside and it is a coffee shop.	0.3265	0.4090	3.0510	0.4164	0.5764	3.9569
name[Loch Fyne], eatType[pub], area[riverside]	Loch Fyne is in riverside and it is a pub.	0.0001	0.3265	2.9037	0.3899	0.5314	3.8040
name[Strada], eatType[coffee shop], area[city centre]	Strada is in city centre and it is a coffee shop.	0.3816	0.4647	3.4732	0.4318	0.6724	3.5459
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is near All Bar One with a 1 out of 5 rating and it is a coffee shop.	0.4125	0.4530	4.0447	0.4407	0.5649	3.1239
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is near Rainbow Vegetarian Café with a 1 out of 5 rating and it is a coffee shop.	0.5109	0.5411	4.2759	0.4294	0.4889	3.4541
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Well, Strada is near Express by Holiday Inn, it is a coffee shop and it has a low rating.	0.4308	0.4643	3.9851	0.4693	0.7062	2.7945
name[Strada], eatType[pub], area[city centre]	Strada is in city centre and it is a pub.	0.0001	0.3551	3.1581	0.4087	0.6376	2.9179
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada is near All Bar One with a 1 out of 5 rating and it is a pub.	0.3621	0.4125	3.9683	0.4254	0.5974	2.8577
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is near Rainbow Vegetarian Café with a 1 out of 5 rating and it is a pub.	0.4756	0.5109	4.2017	0.4272	0.5169	3.4704
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada is near Express by Holiday Inn with a low rating and it is a pub.	0.3708	0.4252	4.1617	0.4447	0.6932	3.5361
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is near Avalon with a 1 out of 5 rating, it is a coffee shop and it is kid friendly.	0.6776	0.6951	7.6004	0.4692	0.6012	2.4619
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is near Avalon with a 3 out of 5 rating, it is a coffee shop and it is kid friendly.	0.5125	0.5400	5.5799	0.4594	0.6143	2.6993
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with a 3 out of 5 rating, it is a coffee shop and it is kid friendly.	0.4685	0.4960	5.3130	0.4581	0.5746	3.0227
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a coffee shop and it is n 't family friendly.	0.3641	0.3911	3.4792	0.4285	0.5343	0.8065
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a coffee shop and it is family friendly.	0.6877	0.7015	6.3981	0.5637	0.8097	3.1186
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is near Café Sicilia with an average rating, it is a coffee shop and it is n 't family friendly.	0.0000	0.1878	3.6499	0.4092	0.4876	0.9408
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with an average rating, it is a coffee shop and it is n 't family friendly.	0.1886	0.2417	2.8497	0.4301	0.5487	0.9429
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is near Café Sicilia with an average rating, it is a coffee shop and it is family friendly.	0.6364	0.6576	7.3105	0.4609	0.5669	2.3849
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is near Café Sicilia with a high rating, it is kid friendly and it 's a coffee shop.	0.3736	0.4126	4.6941	0.4478	0.5669	2.3849
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is near Express by Holiday Inn with a high rating, it is kid friendly and it 's a coffee shop.	0.6725	0.6890	7.0314	0.4633	0.6143	2.7288
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is near Express by Holiday Inn with a low rating, it is a coffee shop and it is n 't kid friendly.	0.3200	0.3554	3.6545	0.3994	0.5620	1.2100
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is near Ranch with a low rating, it is a coffee shop and it is n 't kid friendly.	0.2670	0.3283	4.1292	0.3639	0.4986	1.5071
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is near Ranch with a low rating, it is a coffee shop and it is family friendly.	0.3357	0.3861	5.2248	0.4481	0.5409	2.5490
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is kid friendly with a 1 out of 5 rating, it is near Avalon and it is a restaurant.	0.5484	0.5797	7.4042	0.4611	0.6055	2.4285
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is near Avalon with a 3 out of 5 rating, it is a restaurant and it is kid friendly.	0.4806	0.5125	5.5695	0.4514	0.6225	2.6586
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with a 3 out of 5 rating, it is a restaurant and it is kid friendly.	0.4617	0.4903	5.2876	0.4486	0.6026	3.1826
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a restaurant and it is n 't family friendly.	0.3531	0.3811	3.4026	0.4199	0.5592	0.7826
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a restaurant and it is kid friendly.	0.5930	0.6126	6.1236	0.5151	0.8008	3.2082
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is near Café Sicilia with an average rating, it is a restaurant and it is n 't family friendly.	0.0000	0.1861	3.5705	0.3978	0.5155	0.7731
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is near Crowne Plaza Hotel with an average rating, it is a restaurant and it is n 't family friendly.	0.1875	0.2410	2.7433	0.4204	0.5250	0.8612
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is near Café Sicilia with an average rating, it is a restaurant and it is kid friendly.	0.6364	0.6598	7.6644	0.4307	0.6010	2.3031
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is near Café Sicilia with a high rating, it is a restaurant and it is kid friendly.	0.4023	0.4423	5.0740	0.4390	0.6010	2.2227
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is near Express by Holiday Inn with a high rating, it is a restaurant and it is kid friendly.	0.7587	0.7714	7.7210	0.4556	0.6240	2.7341
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is near Express by Holiday Inn with a low rating, it is a restaurant and it is n 't family friendly.	0.2775	0.3200	3.5752	0.4269	0.5994	1.0767
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is near Ranch with a low rating, it is a restaurant and it is n 't family friendly.	0.0000	0.2890	4.2991	0.3924	0.5279	1.3711
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is near Ranch with a low rating, it is a restaurant and it is kid friendly.	0.3289	0.3792	4.9320	0.4380	0.5755	2.5885
