'name[Blue Spice], eatType[coffee shop], area[city centre]'	'Blue Spice is a coffee shop in the city centre.'
'name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is an english restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.'
'name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly english restaurant in riverside near Rainbow Vegetarian Café.'
'name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]'	'Clowns is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.'
'name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Clowns is a coffee shop located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.'
'name[Clowns], eatType[coffee shop], near[The Sorrento]'	'Clowns is a coffee shop near The Sorrento.'
'name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]'	'Clowns is a pub near All Bar One with a customer rating of 3 out of 5.'
'name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[Clowns], eatType[pub], near[The Sorrento]'	'Clowns is a pub near the The Sorrento.'
'name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]'	'Cocum is a coffee shop near Burger King with a high customer rating.'
'name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]'	'Cocum is a coffee shop near Café Sicilia with a high customer rating.'
'name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]'	'Cocum is a low rated coffee shop near Café Sicilia.'
'name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]'	'Cocum is a low rated coffee shop near Express by Holiday Inn.'
'name[Cocum], eatType[coffee shop], near[The Rice Boat]'	'Cocum is a coffee shop near The Rice Boat.'
'name[Cocum], eatType[coffee shop], near[The Sorrento]'	'Cocum is a coffee shop near The Sorrento.'
'name[Cocum], eatType[pub], customer rating[high], near[Burger King]'	'Cocum is a pub near Burger King with a high customer rating.'
'name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]'	'Cocum is a pub near Café Sicilia with a high customer rating.'
'name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]'	'Cocum is a pub near Café Sicilia with a low customer rating.'
'name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]'	'Cocum is a pub near Express by Holiday Inn with a low customer rating.'
'name[Cocum], eatType[pub], near[The Rice Boat]'	'Cocum is a pub near the The Rice Boat.'
'name[Cocum], eatType[pub], near[The Sorrento]'	'Cocum is a pub near the The Sorrento.'
'name[Cotto], eatType[coffee shop], near[The Bakers]'	'Cotto is a coffee shop near The Bakers.'
'name[Cotto], eatType[pub], near[The Bakers]'	'Cotto is a pub near the The Bakers.'
'name[Giraffe], eatType[coffee shop], near[The Bakers]'	'Giraffe is a coffee shop near The Bakers.'
'name[Giraffe], eatType[coffee shop], near[The Rice Boat]'	'Giraffe is a coffee shop near The Rice Boat.'
'name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly english pub near Rainbow Vegetarian Café in riverside.'
'name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a fast food pub located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.'
'name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family-friendly fast food pub located in the city centre near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a fast food pub near Rainbow Vegetarian Café in riverside. It is not family-friendly.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly fast food pub in riverside near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family friendly fast food pub in riverside near Raja Indian Cuisine.'
'name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a french pub near Raja Indian Cuisine in the city centre. It is not family-friendly.'
'name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family-friendly french pub near Raja Indian Cuisine in the city centre.'
'name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a french pub near Raja Indian Cuisine in riverside. It is not family-friendly.'
'name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a kid friendly french pub near Raja Indian Cuisine in riverside.'
'name[Giraffe], eatType[pub], near[The Bakers]'	'Giraffe is a pub near the The Bakers.'
'name[Giraffe], eatType[pub], near[The Rice Boat]'	'Giraffe is a pub near the The Rice Boat.'
'name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly english restaurant in riverside near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a fast food restaurant located in the city centre near the Rainbow Vegetarian Café. It is not family-friendly.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family-friendly fast food restaurant located in the city centre near the Rainbow Vegetarian Café.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a fast food restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly fast food restaurant in riverside near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family friendly fast food restaurant in riverside near Raja Indian Cuisine.'
'name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a non family-friendly french restaurant near Raja Indian Cuisine in the city centre.'
'name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family-friendly french restaurant in the city centre near the Raja Indian Cuisine.'
'name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a non family-friendly french restaurant near Raja Indian Cuisine in the riverside area.'
'name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family friendly french restaurant in riverside near Raja Indian Cuisine.'
'name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]'	'Green Man is a coffee shop near All Bar One that has a customer rating of 1 out of 5.'
'name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]'	'Green Man is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.'
'name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]'	'Green Man is a pub near All Bar One with a customer rating of 1 out of 5.'
'name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]'	'Green Man is a pub near All Bar One with a customer rating of 3 out of 5.'
'name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly italian pub in riverside near Express by Holiday Inn.'
'name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Green Man is a family friendly italian pub in riverside near Raja Indian Cuisine.'
'name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a japanese pub near Express by Holiday Inn in the city centre. It is not family-friendly.'
'name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family-friendly japanese pub near Express by Holiday Inn in the city centre.'
'name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a japanese pub near Express by Holiday Inn in riverside. It is not family-friendly.'
'name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly japanese pub in riverside near Express by Holiday Inn.'
'name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly italian restaurant in riverside near Express by Holiday Inn.'
'name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Green Man is a family friendly italian restaurant in riverside near Raja Indian Cuisine.'
'name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a japanese restaurant near Express by Holiday Inn in the city centre. It is not family-friendly.'
'name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family-friendly japanese restaurant located in the city centre near the Express by Holiday Inn.'
'name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a japanese restaurant near Express by Holiday Inn in the riverside area. It is not family-friendly.'
'name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly japanese restaurant in riverside near Express by Holiday Inn.'
'name[Loch Fyne], eatType[coffee shop], area[riverside]'	'A coffee shop in riverside is Loch Fyne.'
'name[Loch Fyne], eatType[pub], area[riverside]'	'There is a pub called Loch Fyne in the riverside area.'
'name[Strada], eatType[coffee shop], area[city centre]'	'Strada is a coffee shop in the city centre.'
'name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]'	'Strada is a coffee shop near All Bar One that has a customer rating of 1 out of 5.'
'name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]'	'Strada is a coffee shop near Rainbow Vegetarian Café that has a customer rating of 1 out of 5.'
'name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]'	'Strada is a low rated coffee shop near Express by Holiday Inn.'
'name[Strada], eatType[pub], area[city centre]'	'Strada is a pub located in the city centre.'
'name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]'	'Strada is a pub near All Bar One with a customer rating of 1 out of 5.'
'name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]'	'Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.'
'name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]'	'Strada is a pub near Express by Holiday Inn with a low customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is a kid friendly coffee shop near Avalon with a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is a coffee shop near Avalon. It has a customer rating of 3 out of 5 and is kid friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is a coffee shop near Crowne Plaza Hotel. It has a customer rating of 3 out of 5 and is kid friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5. It is not family-friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]'	'The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has an average rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is a child friendly coffee shop near Café Sicilia. It has an average customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is a highly rated, child friendly coffee shop near Café Sicilia.'
'name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]'	'The Cricketers is a highly rated, child friendly coffee shop near Express by Holiday Inn.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]'	'The Cricketers is a coffee shop near Express by Holiday Inn that is not family-friendly. It has a low customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]'	'The Cricketers is a coffee shop near Ranch that is not family-friendly. It has a low customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]'	'The Cricketers is a coffee shop near Ranch that is family friendly and has a low customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 3 out of 5.'
'name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is a kid friendly restaurant near Crowne Plaza Hotel with a customer rating of 3 out of 5.'
'name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is a restaurant near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a 5 out of 5 customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]'	'The Cricketers is a restaurant near Café Sicilia. It has an average customer rating and is not family-friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is a restaurant near Crowne Plaza Hotel. It has an average customer rating and is not family-friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]'	'Near Café Sicilia is a family friendly restaurant called The Cricketers. It has an average customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is a children friendly restaurant near Café Sicilia. It has a high customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]'	'The Cricketers is a children friendly restaurant near Express by Holiday Inn. It has a high customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]'	'The Cricketers is a restaurant near Express by Holiday Inn. It is not family-friendly and has a low customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]'	'The Cricketers is a restaurant near Ranch. It is not family-friendly and has a low customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]'	'The Cricketers is a family friendly restaurant near Ranch. It has a low customer rating.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre. Its customer rating is high. It is near All Bar One. It is not kids friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. Its customer rating is high. It is near All Bar One. It is not kids friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. It is near the All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is a cheap chinese restaurant in the city centre near All Bar One. It has a customer rating of 5 out of 5 and is not family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the low price range. It is located in the city center. It is near All Bar One. Its customer rating is 5 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the cheap price range. It is located in the riverside. Its customer rating is 5 out of 5. It is near All Bar One.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is a cheap chinese restaurant in the city centre near All Bar One. It has an average customer rating and is not family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the cheap price range. It is located in the city centre. It is near All Bar One. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a cheap chinese restaurant near All Bar One in riverside. It has an average customer rating and is not family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the city centre. It is near All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is near All Bar One in the city centre. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the riverside. It is near All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is near All Bar One in the riverside. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the city centre. It is near All Bar One. It has an average customer rating and is not children friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is near All Bar One. It is located in the city centre. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the riverside. Its customer rating is average and is not children friendly. It is near the All Bar One.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the riverside. It is near the All Bar One. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the less than £20 price range. It is located in the city centre. It is near All Bar One. Its customer rating is low. It is not family-friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the less than £20 price range. It is located in the city centre. It is near All Bar One. Its customer rating is low.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the less than £20 price range. It is located in the riverside. It is near All Bar One. Its customer rating is low. It is not family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the less than £20 price range. It is located in the riverside. It is near All Bar One. Its customer rating is low.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the city centre. Its customer rating is 1 out of 5 and is not kids friendly. It is located near the All Bar One.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the city center. It is near All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the riverside. It is near All Bar One. Its customer rating is 1 out of 5. It is not kids friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the riverside. It is near the All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the city centre. Its customer rating is 3 out of 5 and is not kids friendly. It is located near the All Bar One.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the city centre. It is near All Bar One. Its customer rating is 3 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the riverside. Its customer rating is 3 out of 5 and is not kids friendly. It is near the All Bar One.'
