'name[Blue Spice], eatType[coffee shop], area[city centre]'	'Blue Spice is a coffee shop in the city centre.'
'name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a non-family-friendly english restaurant near Rainbow Vegetarian Café in the riverside area.'
'name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly english restaurant near Rainbow Vegetarian Café in the riverside area.'
'name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]'	'Clowns is a coffee shop near All Bar One with a 3 out of 5 customer rating.'
'name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Clowns is a highly rated coffee shop near Crowne Plaza Hotel.'
'name[Clowns], eatType[coffee shop], near[The Sorrento]'	'Clowns is a coffee shop near The Sorrento.'
'name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]'	'Clowns is a pub near All Bar One with a 3 out of 5 customer rating.'
'name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[Clowns], eatType[pub], near[The Sorrento]'	'Clowns is a pub near The Sorrento.'
'name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]'	'Near Burger King is a highly rated coffee shop called Cocum.'
'name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]'	'Near Café Sicilia is a highly rated coffee shop called Cocum.'
'name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]'	'Cocum is a coffee shop near Café Sicilia. It has a low customer rating.'
'name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]'	'Cocum is a coffee shop near Express by Holiday Inn. It has a low customer rating.'
'name[Cocum], eatType[coffee shop], near[The Rice Boat]'	'Cocum is a coffee shop near The Rice Boat.'
'name[Cocum], eatType[coffee shop], near[The Sorrento]'	'Cocum is a coffee shop near The Sorrento.'
'name[Cocum], eatType[pub], customer rating[high], near[Burger King]'	'Cocum is a pub near Burger King with a high customer rating.'
'name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]'	'Cocum is a pub near Café Sicilia with a high customer rating.'
'name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]'	'Cocum is a pub near Café Sicilia with a low customer rating.'
'name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]'	'Cocum is a pub near Express by Holiday Inn with a low customer rating.'
'name[Cocum], eatType[pub], near[The Rice Boat]'	'Cocum is a pub near The Rice Boat.'
'name[Cocum], eatType[pub], near[The Sorrento]'	'Cocum is a pub near The Sorrento.'
'name[Cotto], eatType[coffee shop], near[The Bakers]'	'Cotto is a coffee shop near The Bakers.'
'name[Cotto], eatType[pub], near[The Bakers]'	'Cotto is a pub near The Bakers.'
'name[Giraffe], eatType[coffee shop], near[The Bakers]'	'Giraffe is a coffee shop near The Bakers.'
'name[Giraffe], eatType[coffee shop], near[The Rice Boat]'	'Giraffe is a coffee shop near The Rice Boat.'
'name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly pub that serves english food near Rainbow Vegetarian Café in the riverside area.'
'name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a non family-friendly fast food pub located in the city centre near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family-friendly fast food pub located in the city centre near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a fast food pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly fast food pub near Rainbow Vegetarian Café in the riverside area.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family friendly fast food pub near Raja Indian Cuisine in the riverside area.'
'name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a french pub near Raja Indian Cuisine in the city centre. It is not family-friendly.'
'name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family-friendly french pub located in the city centre near Raja Indian Cuisine.'
'name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a french pub near Raja Indian Cuisine in the riverside area. It is not family-friendly.'
'name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family friendly french pub near Raja Indian Cuisine in the riverside area.'
'name[Giraffe], eatType[pub], near[The Bakers]'	'Giraffe is a pub near The Bakers.'
'name[Giraffe], eatType[pub], near[The Rice Boat]'	'Giraffe is a pub near The Rice Boat.'
'name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly english restaurant near Rainbow Vegetarian Café in the riverside area.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a non family-friendly fast food restaurant located in the city centre near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family-friendly fast food restaurant located in the city centre near Rainbow Vegetarian Café.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is a non family-friendly fast food restaurant near Rainbow Vegetarian Café in the riverside area.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a family friendly fast food restaurant near Rainbow Vegetarian Café in the riverside area.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family friendly fast food restaurant near Raja Indian Cuisine in the riverside area.'
'name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a non family-friendly french restaurant located in the city centre near Raja Indian Cuisine.'
'name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family-friendly french restaurant located in the city centre near Raja Indian Cuisine.'
'name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a non family-friendly french restaurant in the riverside area near Raja Indian Cuisine.'
'name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a family friendly french restaurant near Raja Indian Cuisine in the riverside area.'
'name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]'	'Green Man is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.'
'name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]'	'Green Man is a coffee shop near All Bar One with a 3 out of 5 customer rating.'
'name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]'	'Green Man is a pub near All Bar One with a customer rating of 1 out of 5.'
'name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]'	'Green Man is a pub near All Bar One with a 3 out of 5 customer rating.'
'name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly italian pub near Express by Holiday Inn in the riverside area.'
'name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Green Man is a family friendly italian pub near Raja Indian Cuisine in the riverside area.'
'name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a japanese pub near Express by Holiday Inn in the city centre. It is not family-friendly.'
'name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family-friendly japanese pub located in the city centre near Express by Holiday Inn.'
'name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a japanese pub near Express by Holiday Inn in the riverside area. It is not family-friendly.'
'name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly japanese pub near Express by Holiday Inn in the riverside area.'
'name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly italian restaurant near Express by Holiday Inn in the riverside area.'
'name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Green Man is a family friendly italian restaurant near Raja Indian Cuisine in the riverside area.'
'name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a non family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.'
'name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.'
'name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is a non family-friendly japanese restaurant in the riverside area near Express by Holiday Inn.'
'name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is a family friendly japanese restaurant near Express by Holiday Inn in the riverside area.'
'name[Loch Fyne], eatType[coffee shop], area[riverside]'	'In the riverside area is a coffee shop called Loch Fyne.'
'name[Loch Fyne], eatType[pub], area[riverside]'	'Loch Fyne is a pub by the riverside.'
'name[Strada], eatType[coffee shop], area[city centre]'	'Strada is a coffee shop in the city centre.'
'name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]'	'Strada is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.'
'name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]'	'Strada is a coffee shop near Rainbow Vegetarian Café. It has a customer rating of 1 out of 5.'
'name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]'	'Strada is a coffee shop near Express by Holiday Inn. It has a low customer rating.'
'name[Strada], eatType[pub], area[city centre]'	'In the city centre, Strada is a pub.'
'name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]'	'Strada is a pub near All Bar One with a customer rating of 1 out of 5.'
'name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]'	'Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.'
'name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]'	'Strada is a pub near Express by Holiday Inn with a low customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is a child friendly coffee shop near Avalon. It has a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is a kid friendly coffee shop near Avalon with a 3 out of 5 customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is a kid friendly coffee shop near Crowne Plaza Hotel with a 3 out of 5 customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]'	'The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has an average customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is a coffee shop near Café Sicilia. It is children friendly and has an average customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is a child friendly coffee shop near Café Sicilia. It has a high customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]'	'The Cricketers is a child friendly coffee shop near Express by Holiday Inn. It has a high customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]'	'The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]'	'The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]'	'The Cricketers is a family friendly coffee shop with a low customer rating near Ranch.'
'name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is a child friendly restaurant near Avalon with a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]'	'Near Avalon is a child friendly restaurant with a 3 out of 5 customer rating called The Cricketers.'
'name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'Near Crowne Plaza Hotel is a child friendly restaurant with a 3 out of 5 customer rating called The Cricketers.'
'name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]'	'Near Crowne Plaza Hotel is a non family-friendly restaurant called The Cricketers. It has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]'	'The Cricketers is a non-family-friendly restaurant near Café Sicilia with an average customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is a non-family-friendly restaurant near Crowne Plaza Hotel with an average customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is a family friendly restaurant near Café Sicilia. It has an average customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is a child friendly restaurant near Café Sicilia with a high customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]'	'The Cricketers is a child friendly restaurant near Express by Holiday Inn with a high customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]'	'The Cricketers is a non-family-friendly restaurant near Express by Holiday Inn with a low customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]'	'The Cricketers is a non-family-friendly restaurant near Ranch with a low customer rating.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]'	'The Cricketers is a family friendly restaurant near Ranch with a low customer rating.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the £20-25 range. It is located in the city centre. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a restaurant providing chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the cheap price range. It is located in the city centre. It is near All Bar One. Its customer rating is 5 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a cheap family friendly chinese restaurant located in the city centre near All Bar One. It has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a cheap chinese restaurant in the riverside area near All Bar One. It has a customer rating of 5 out of 5 and is not family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a cheap chinese restaurant in the riverside area near All Bar One. It has a customer rating of 5 out of 5 and is family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the cheap price range. It is located in the city centre. It is near All Bar One. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a cheap chinese restaurant near All Bar One in the city centre. It has an average customer rating and is family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a cheap chinese restaurant in the riverside area near All Bar One. It has an average customer rating and is family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the city centre. It is near All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a high priced chinese restaurant in the city centre near All Bar One. It has a customer rating of 1 out of 5 and is children friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the riverside. It is near All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a children friendly chinese restaurant with a high price range with a customer rating of 1 out of 5. It is located in the riverside area near All Bar One.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the city centre. It is near All Bar One. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a high priced chinese restaurant near All Bar One in the city centre. It has an average customer rating and is children friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the high price range. It is located in the riverside area near All Bar One. It has an average customer rating and is children friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is a restaurant providing chinese food in the less than £20 price range. It is located in the city centre. It is near All Bar One. Its customer rating is low.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the less than £20 price range. It is near All Bar One in the city centre. Its customer rating is low.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a restaurant providing chinese food in the less than £20 price range. It is located in the riverside. It is near All Bar One. Its customer rating is low.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a family friendly restaurant that provides chinese food in the less than £20 price range. It is located in the riverside. It is near All Bar One. Its customer rating is low.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is a moderately priced chinese restaurant located in the city centre near All Bar One. It has a customer rating of 1 out of 5 and is not kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the city centre. It has a customer rating of 1 out of 5 and is near All Bar One.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in riverside. It is near All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the riverside. It is near All Bar One. Its customer rating is 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the city centre. It is near All Bar One. Its customer rating is 3 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the city centre. It has a customer rating of 3 out of 5 and is near All Bar One.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the riverside area near All Bar One. It has a customer rating of 3 out of 5 and is not kid friendly.'
