src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub near Rainbow Vegetarian Café in the riverside area. It is not family friendly.	0.5576	0.5813	4.6033	0.4107	0.7048	2.9984
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese pub near Rainbow Vegetarian Café in the riverside area.	0.9084	0.9147	6.1092	0.4945	0.8051	3.0795
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.	0.6961	0.7109	3.9164	0.3737	0.6963	1.7418
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english pub located in the city centre near Rainbow Vegetarian Café.	0.8939	0.9009	5.0946	0.5527	0.7915	3.7615
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.4776	0.5170	5.1219	0.4263	0.6540	2.3768
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub that serves english food near Rainbow Vegetarian Café in the riverside area.	0.8958	0.9017	7.8657	0.4937	0.8100	3.0480
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café. It is not family friendly.	0.6410	0.6624	3.4954	0.4487	0.6293	1.2698
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant located in the city centre near Rainbow Vegetarian Café.	0.6013	0.6115	3.9878	0.4427	0.7789	2.8410
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non family friendly chinese restaurant located in the riverside area near Rainbow Vegetarian Café.	0.4251	0.4549	3.6808	0.3927	0.6778	2.4232
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant near Rainbow Vegetarian Café in the riverside area.	0.9084	0.9147	6.1092	0.4945	0.8051	3.0745
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non family-friendly english restaurant located in the city centre near Rainbow Vegetarian Café.	0.6072	0.6226	3.0346	0.4141	0.7459	1.4246
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly restaurant located in the city centre near Rainbow Vegetarian Café.	0.8320	0.8397	4.4972	0.4885	0.8090	2.8748
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family-friendly english restaurant near Rainbow Vegetarian Café in the riverside area.	0.3376	0.3864	2.7710	0.4075	0.6010	1.5415
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly english restaurant near Rainbow Vegetarian Café in the riverside area.	0.9457	0.9494	6.3687	0.5076	0.8772	2.5588
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is a coffee shop near All Bar One with a 3 out of 5 customer rating.	0.5681	0.5905	4.7773	0.4345	0.5534	3.0824
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a highly rated coffee shop near Crowne Plaza Hotel.	0.4772	0.5382	2.4257	0.3860	0.5481	1.5511
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns is a coffee shop near The Sorrento.	0.0000	0.2034	1.9462	0.3503	0.3268	2.8208
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is a pub near All Bar One with a 3 out of 5 customer rating.	0.4924	0.5236	4.5627	0.4228	0.5926	2.9237
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.7938	0.8073	5.1763	0.5388	0.7959	3.7297
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is a pub near The Sorrento.	0.0000	0.1955	1.6830	0.3199	0.2445	2.7258
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Near Burger King is a highly rated coffee shop called Cocum.	0.5312	0.5736	2.4305	0.5455	0.8628	3.3124
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Near Café Sicilia is a highly rated coffee shop called Cocum.	0.6687	0.7034	4.8978	0.9586	0.9091	3.3711
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Cocum is a coffee shop near Café Sicilia. It has a low customer rating.	0.3928	0.4464	3.2583	0.4780	0.5966	4.0801
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Cocum is a coffee shop near Express by Holiday Inn. It has a low customer rating.	0.7277	0.7444	4.9443	0.5740	0.9085	4.2416
name[Cocum], eatType[coffee shop], near[The Rice Boat]	Cocum is a coffee shop near The Rice Boat.	0.8187	0.8187	3.5729	0.4631	0.7668	5.4375
name[Cocum], eatType[coffee shop], near[The Sorrento]	Cocum is a coffee shop near The Sorrento.	0.5969	0.6580	2.8177	0.4905	0.8750	5.8946
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum is a pub near Burger King with a high customer rating.	0.4863	0.5441	3.5599	0.3686	0.6689	2.9258
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a high customer rating.	0.4863	0.5441	4.3261	0.4182	0.7500	3.0771
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a low customer rating.	0.3891	0.4409	3.5955	0.4964	0.6667	4.2402
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum is a pub near Express by Holiday Inn with a low customer rating.	0.9365	0.9415	6.3443	1.0000	1.0000	4.4614
name[Cocum], eatType[pub], near[The Rice Boat]	Cocum is a pub near The Rice Boat.	0.7651	0.7705	3.2751	0.4409	0.7388	5.1739
name[Cocum], eatType[pub], near[The Sorrento]	Cocum is a pub near The Sorrento.	0.5000	0.5969	2.6250	0.4677	0.8571	5.8130
name[Cotto], eatType[coffee shop], near[The Bakers]	Cotto is a coffee shop near The Bakers.	0.3852	0.4623	2.7073	0.3950	0.6536	3.2238
name[Cotto], eatType[pub], near[The Bakers]	Cotto is a pub near The Bakers.	0.3638	0.4456	2.4313	0.3683	0.6112	3.1195
name[Giraffe], eatType[coffee shop], near[The Bakers]	Giraffe is a coffee shop near The Bakers.	0.6690	0.7030	3.4256	0.4776	0.9313	5.4542
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Giraffe is a coffee shop near The Rice Boat.	0.4548	0.5059	3.2060	0.4074	0.3929	4.2344
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly pub that serves english food near Rainbow Vegetarian Café in the riverside area.	0.4856	0.5237	4.9957	0.4593	0.6136	2.0268
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a non family-friendly fast food pub located in the city centre near Rainbow Vegetarian Café.	0.7398	0.7470	5.3616	0.5224	0.7991	3.0545
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food pub located in the city centre near Rainbow Vegetarian Café.	0.8728	0.8815	4.9257	0.5229	0.9350	4.1388
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.8087	0.8195	6.5282	0.5555	0.8324	3.0198
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food pub near Rainbow Vegetarian Café in the riverside area.	0.9415	0.9457	7.6088	0.5426	0.7966	3.0640
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food pub near Raja Indian Cuisine in the riverside area.	0.9457	0.9494	5.6713	0.5916	0.9644	2.5829
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a french pub near Raja Indian Cuisine in the city centre. It is not family-friendly.	0.8118	0.8173	4.9539	0.4854	0.6926	2.6521
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french pub located in the city centre near Raja Indian Cuisine.	0.6690	0.6904	3.9514	0.4237	0.7752	2.1309
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a french pub near Raja Indian Cuisine in the riverside area. It is not family-friendly.	0.7682	0.7819	6.7877	0.4839	0.8531	1.5807
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly french pub near Raja Indian Cuisine in the riverside area.	0.6264	0.6452	5.1894	0.3669	0.5963	1.7941
name[Giraffe], eatType[pub], near[The Bakers]	Giraffe is a pub near The Bakers.	0.6102	0.6598	3.2818	0.4555	0.9222	5.1850
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe is a pub near The Rice Boat.	0.3681	0.4448	3.0046	0.3864	0.4357	4.2878
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly english restaurant near Rainbow Vegetarian Café in the riverside area.	0.5512	0.5932	3.1560	0.4539	0.6090	1.9210
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a non family-friendly fast food restaurant located in the city centre near Rainbow Vegetarian Café.	0.7398	0.7470	5.3616	0.5224	0.7991	3.0862
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food restaurant located in the city centre near Rainbow Vegetarian Café.	0.8728	0.8815	4.9257	0.5229	0.9350	4.1118
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a non family-friendly fast food restaurant near Rainbow Vegetarian Café in the riverside area.	0.6158	0.6376	5.3706	0.5047	0.7744	2.6139
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food restaurant near Rainbow Vegetarian Café in the riverside area.	0.9415	0.9457	7.6088	0.5426	0.7966	3.0677
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food restaurant near Raja Indian Cuisine in the riverside area.	0.9457	0.9494	5.6713	0.5916	0.9644	2.5984
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non family-friendly french restaurant located in the city centre near Raja Indian Cuisine.	0.4786	0.5018	2.7275	0.4706	0.6274	1.4840
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french restaurant located in the city centre near Raja Indian Cuisine.	0.6690	0.6904	3.9514	0.4237	0.7752	2.1104
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non family-friendly french restaurant in the riverside area near Raja Indian Cuisine.	0.4121	0.4663	3.9765	0.5083	0.6940	1.1688
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly french restaurant near Raja Indian Cuisine in the riverside area.	0.6264	0.6452	5.1894	0.3669	0.5963	1.7714
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.	0.8389	0.8472	6.0395	0.5466	0.8000	3.2450
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One with a 3 out of 5 customer rating.	0.8891	0.8958	6.7359	0.5243	0.7262	3.1209
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Green Man is a pub near All Bar One with a customer rating of 1 out of 5.	0.6675	0.6854	5.0408	0.5031	0.7125	3.1148
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Green Man is a pub near All Bar One with a 3 out of 5 customer rating.	0.8815	0.8891	6.6167	0.5181	0.7498	3.0942
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly italian pub near Express by Holiday Inn in the riverside area.	0.9829	0.9840	6.2005	0.5623	0.8536	2.8691
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly italian pub near Raja Indian Cuisine in the riverside area.	0.5403	0.5698	4.6429	0.4057	0.7080	3.1564
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a japanese pub near Express by Holiday Inn in the city centre. It is not family-friendly.	0.7910	0.7999	5.3391	0.4895	0.8427	3.2909
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese pub located in the city centre near Express by Holiday Inn.	0.5857	0.6154	4.5454	0.4768	0.6822	3.7058
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a japanese pub near Express by Holiday Inn in the riverside area. It is not family-friendly.	0.6760	0.6959	6.1194	0.4611	0.7407	3.5975
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese pub near Express by Holiday Inn in the riverside area.	0.9494	0.9526	7.0319	0.5218	0.9365	3.5991
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly italian restaurant near Express by Holiday Inn in the riverside area.	0.9829	0.9840	6.2005	0.5623	0.8536	2.8706
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly italian restaurant near Raja Indian Cuisine in the riverside area.	0.5403	0.5698	4.6429	0.4057	0.7080	3.1515
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.	0.4921	0.5168	3.9390	0.4378	0.5250	2.2270
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.	0.5857	0.6154	4.5454	0.4768	0.6822	3.7112
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non family-friendly japanese restaurant in the riverside area near Express by Holiday Inn.	0.7222	0.7366	5.0074	0.4420	0.8824	2.9193
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese restaurant near Express by Holiday Inn in the riverside area.	0.9494	0.9526	7.0319	0.5218	0.9365	3.5917
name[Loch Fyne], eatType[coffee shop], area[riverside]	In the riverside area is a coffee shop called Loch Fyne.	0.4772	0.5382	3.9079	0.4397	0.4803	3.1953
name[Loch Fyne], eatType[pub], area[riverside]	Loch Fyne is a pub by the riverside.	0.5342	0.5888	2.5939	0.4745	0.8149	4.3125
name[Strada], eatType[coffee shop], area[city centre]	Strada is a coffee shop in the city centre.	0.9036	0.9147	4.5810	0.4543	0.7428	4.4316
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.	0.8546	0.8619	5.2716	0.6380	0.9188	4.2672
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a coffee shop near Rainbow Vegetarian Café. It has a customer rating of 1 out of 5.	0.7353	0.7496	4.9303	0.4919	0.6193	3.5584
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Strada is a coffee shop near Express by Holiday Inn. It has a low customer rating.	0.9829	0.9840	6.0863	1.0000	1.0000	5.6841
name[Strada], eatType[pub], area[city centre]	In the city centre, Strada is a pub.	0.6312	0.6887	4.9108	0.4005	0.6985	2.9564
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada is a pub near All Bar One with a customer rating of 1 out of 5.	0.9009	0.9071	5.3198	0.5571	0.8801	3.9674
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.	0.6622	0.6816	5.2999	0.4680	0.6471	3.6042
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada is a pub near Express by Holiday Inn with a low customer rating.	0.6786	0.6995	5.0642	0.5543	0.9215	4.9577
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a child friendly coffee shop near Avalon. It has a customer rating of 1 out of 5.	1.0000	1.0000	7.7456	0.5600	0.8742	3.3607
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly coffee shop near Avalon with a 3 out of 5 customer rating.	0.9351	0.9391	6.9442	0.4960	0.7914	3.3685
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a kid friendly coffee shop near Crowne Plaza Hotel with a 3 out of 5 customer rating.	0.9134	0.9155	6.5471	0.5499	0.8883	4.3935
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.	0.8051	0.8133	5.3585	0.5622	0.9242	2.4719
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.9866	0.9873	6.7111	0.9745	0.9349	4.6513
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average customer rating.	0.3928	0.4328	5.1153	0.4523	0.5804	2.5865
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has an average customer rating.	0.0000	0.2123	3.5239	0.4316	0.6076	2.4117
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a coffee shop near Café Sicilia. It is children friendly and has an average customer rating.	0.9710	0.9726	7.9274	0.5665	0.9188	3.2547
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a child friendly coffee shop near Café Sicilia. It has a high customer rating.	1.0000	1.0000	6.8657	0.5715	0.8531	3.6031
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a child friendly coffee shop near Express by Holiday Inn. It has a high customer rating.	0.9858	0.9866	7.3181	0.5411	0.8691	3.9427
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.	1.0000	1.0000	6.2282	1.0000	1.0000	3.9556
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.	0.7533	0.7680	5.8219	0.5235	0.6788	4.2770
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly coffee shop with a low customer rating near Ranch.	0.9011	0.9084	6.0237	0.5583	0.9273	4.2233
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a child friendly restaurant near Avalon with a customer rating of 1 out of 5.	0.9351	0.9391	6.8935	0.5905	0.9145	3.0170
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	Near Avalon is a child friendly restaurant with a 3 out of 5 customer rating called The Cricketers.	0.7984	0.8114	7.0356	0.4905	0.7222	2.9366
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	Near Crowne Plaza Hotel is a child friendly restaurant with a 3 out of 5 customer rating called The Cricketers.	0.6989	0.7167	6.3388	0.5048	0.6314	3.5655
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	Near Crowne Plaza Hotel is a non family-friendly restaurant called The Cricketers. It has a customer rating of 5 out of 5.	0.5937	0.6129	4.7937	0.5160	0.7415	2.2447
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.9858	0.9866	6.7693	0.9727	0.9300	4.3965
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a non-family-friendly restaurant near Café Sicilia with an average customer rating.	0.4759	0.5219	4.8175	0.4798	0.6854	1.8287
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a non-family-friendly restaurant near Crowne Plaza Hotel with an average customer rating.	0.0000	0.2329	3.5499	0.4099	0.5065	2.0351
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly restaurant near Café Sicilia. It has an average customer rating.	1.0000	1.0000	7.0606	1.0000	1.0000	3.4663
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a child friendly restaurant near Café Sicilia with a high customer rating.	0.9802	0.9816	6.2272	0.9829	0.9333	3.3196
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a child friendly restaurant near Express by Holiday Inn with a high customer rating.	0.9649	0.9672	7.0669	0.5868	0.9096	3.4852
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a non-family-friendly restaurant near Express by Holiday Inn with a low customer rating.	0.5710	0.5932	4.5347	0.5016	0.7966	2.4379
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a non-family-friendly restaurant near Ranch with a low customer rating.	0.4507	0.4906	3.5293	0.4730	0.6510	2.3026
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly restaurant near Ranch with a low customer rating.	0.9785	0.9802	6.0284	0.5543	0.8910	3.9735
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.	0.6107	0.6243	5.9223	0.3974	0.6146	1.1982
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers provides chinese food in the £20-25 range. It is located in the city centre. It is near All Bar One. Its customer rating is high.	0.8763	0.8803	6.9250	0.5097	0.8893	1.8496
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant providing chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.	1.0000	1.0000	6.5763	1.0000	1.0000	4.8188
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.	0.8466	0.8487	4.8025	0.5465	0.9069	4.1432
