'name[Blue Spice], eatType[coffee shop], area[city centre]'	'Blue Spice is in city centre and it is a coffee shop.'
'name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Clowns is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a pub.'
'name[Clowns], eatType[pub], near[The Sorrento]'	'Clowns is near The Sorrento and it is a pub.'
'name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]'	'Cocum is near Burger King with a high rating and it is a coffee shop.'
'name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]'	'Cocum is near Café Sicilia with a high rating and it is a coffee shop.'
'name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]'	'Well, Cocum is near Café Sicilia, it is a coffee shop and it has a low rating.'
'name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]'	'Well, Cocum is near Express by Holiday Inn, it is a coffee shop and it has a low rating.'
'name[Cocum], eatType[coffee shop], near[The Rice Boat]'	'Well, Cocum is near The Rice Boat, it is a coffee shop.'
'name[Cocum], eatType[coffee shop], near[The Sorrento]'	'Well, Cocum is near The Sorrento, it is a coffee shop.'
'name[Cocum], eatType[pub], customer rating[high], near[Burger King]'	'Cocum is a pub with a high rating and it is near Burger King.'
'name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]'	'Cocum is a pub with a high rating and it is near Café Sicilia.'
'name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]'	'Cocum is near Café Sicilia with a low rating and it is a pub.'
'name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]'	'Cocum is near Express by Holiday Inn with a low rating and it is a pub.'
'name[Cocum], eatType[pub], near[The Rice Boat]'	'Cocum is near The Rice Boat and it is a pub.'
'name[Cocum], eatType[pub], near[The Sorrento]'	'Cocum is near The Sorrento and it is a pub.'
'name[Cotto], eatType[coffee shop], near[The Bakers]'	'Well, Cotto is near The Bakers, it is a coffee shop.'
'name[Cotto], eatType[pub], near[The Bakers]'	'Cotto is near The Bakers and it is a pub.'
'name[Giraffe], eatType[coffee shop], near[The Bakers]'	'Well, Giraffe is near The Bakers, it is a coffee shop.'
'name[Giraffe], eatType[coffee shop], near[The Rice Boat]'	'Well, Giraffe is near The Rice Boat, it is a coffee shop.'
'name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is in riverside near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a pub.'
'name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is in city centre near Rainbow Vegetarian Café, it is a pub, it is a fast food restaurant and it is n 't family friendly.'
'name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is in city centre near Rainbow Vegetarian Café, it is a fast food restaurant and family friendly and it is a pub.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is in riverside near Rainbow Vegetarian Café, it is a pub, it is a fast food restaurant and it is n 't kid friendly.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is in riverside near Rainbow Vegetarian Café, it is a fast food restaurant and family friendly and it is a pub.'
'name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is in riverside near Raja Indian Cuisine, it is a fast food restaurant and family friendly and it is a pub.'
'name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is n 't kid friendly, it 's near Raja Indian Cuisine in city centre, it is a french restaurant and it is a pub.'
'name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is in city centre near Raja Indian Cuisine, it is a french restaurant and family friendly and it is a pub.'
'name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is a pub, it is near Raja Indian Cuisine in riverside, it is a french restaurant and it is n 't kid friendly.'
'name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is in riverside near Raja Indian Cuisine, it is a pub and it is kid friendly and a french restaurant.'
'name[Giraffe], eatType[pub], near[The Bakers]'	'Giraffe is near The Bakers and it is a pub.'
'name[Giraffe], eatType[pub], near[The Rice Boat]'	'Giraffe is near The Rice Boat and it is a pub.'
'name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is an english restaurant and kid friendly, it is in riverside near Rainbow Vegetarian Café and it is a restaurant.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is near Rainbow Vegetarian Café in city centre, it is a fast food restaurant and it is n 't family friendly.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is in city centre near Rainbow Vegetarian Café, it is a fast food restaurant and family friendly and it is a restaurant.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Giraffe is near Rainbow Vegetarian Café in riverside, it is a fast food restaurant and it is n 't family friendly.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Giraffe is a fast food restaurant and kid friendly, it is in riverside near Rainbow Vegetarian Café and it is a restaurant.'
'name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a fast food restaurant and kid friendly, it is in riverside near Raja Indian Cuisine and it is a restaurant.'
'name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is near Raja Indian Cuisine in city centre, it is a french restaurant and it is n 't family friendly.'
'name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is in city centre near Raja Indian Cuisine, it is a french restaurant and family friendly and it is a restaurant.'
'name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'Giraffe is near Raja Indian Cuisine in riverside, it is a french restaurant and it is n 't kid friendly.'
'name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Giraffe is a french restaurant and kid friendly, it is in riverside near Raja Indian Cuisine and it is a restaurant.'
'name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]'	'Green Man is near All Bar One with a 1 out of 5 rating and it is a coffee shop.'
'name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]'	'Green Man is near All Bar One with a 3 out of 5 rating and it is a coffee shop.'
'name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]'	'Green Man is near All Bar One with a 1 out of 5 rating and it is a pub.'
'name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]'	'Green Man is near All Bar One with a 3 out of 5 rating and it is a pub.'
'name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is in riverside near Express by Holiday Inn, it is an italian restaurant and family friendly and it is a pub.'
'name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Green Man is in riverside near Raja Indian Cuisine, it is an italian restaurant and family friendly and it is a pub.'
'name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is n 't kid friendly, it 's near Express by Holiday Inn in city centre, it is a japanese restaurant and it is a pub.'
'name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is in city centre near Express by Holiday Inn, it is a japanese restaurant and family friendly and it is a pub.'
'name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is in riverside near Express by Holiday Inn, it is a pub, it is a japanese restaurant and it is n 't kid friendly.'
'name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is in riverside near Express by Holiday Inn, it is a japanese restaurant and kid friendly and it is a pub.'
'name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is in riverside near Express by Holiday Inn, it is an italian restaurant and kid friendly and it is a restaurant.'
'name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'Green Man is in riverside near Raja Indian Cuisine, it is an italian restaurant and kid friendly and it is a restaurant.'
'name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is near Express by Holiday Inn in city centre, it is a japanese restaurant and it is n 't family friendly.'
'name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is in city centre near Express by Holiday Inn, it is a japanese restaurant and family friendly and it is a restaurant.'
'name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'Green Man is near Express by Holiday Inn in riverside, it is a japanese restaurant and it is n 't kid friendly.'
'name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'Green Man is near Express by Holiday Inn in riverside, it is a japanese restaurant and it is kid friendly.'
'name[Loch Fyne], eatType[coffee shop], area[riverside]'	'Loch Fyne is in riverside and it is a coffee shop.'
'name[Loch Fyne], eatType[pub], area[riverside]'	'Loch Fyne is in riverside and it is a pub.'
'name[Strada], eatType[coffee shop], area[city centre]'	'Strada is in city centre and it is a coffee shop.'
'name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]'	'Strada is near All Bar One with a 1 out of 5 rating and it is a coffee shop.'
'name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]'	'Strada is near Rainbow Vegetarian Café with a 1 out of 5 rating and it is a coffee shop.'
'name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]'	'Well, Strada is near Express by Holiday Inn, it is a coffee shop and it has a low rating.'
'name[Strada], eatType[pub], area[city centre]'	'Strada is in city centre and it is a pub.'
'name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]'	'Strada is near All Bar One with a 1 out of 5 rating and it is a pub.'
'name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]'	'Strada is near Rainbow Vegetarian Café with a 1 out of 5 rating and it is a pub.'
'name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]'	'Strada is near Express by Holiday Inn with a low rating and it is a pub.'
'name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is near Avalon with a 1 out of 5 rating, it is a coffee shop and it is kid friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is near Avalon with a 3 out of 5 rating, it is a coffee shop and it is kid friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with a 3 out of 5 rating, it is a coffee shop and it is kid friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a coffee shop and it is n 't family friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a coffee shop and it is family friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]'	'The Cricketers is near Café Sicilia with an average rating, it is a coffee shop and it is n 't family friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with an average rating, it is a coffee shop and it is n 't family friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is near Café Sicilia with an average rating, it is a coffee shop and it is family friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is near Café Sicilia with a high rating, it is kid friendly and it 's a coffee shop.'
'name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]'	'The Cricketers is near Express by Holiday Inn with a high rating, it is kid friendly and it 's a coffee shop.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]'	'The Cricketers is near Express by Holiday Inn with a low rating, it is a coffee shop and it is n 't kid friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]'	'The Cricketers is near Ranch with a low rating, it is a coffee shop and it is n 't kid friendly.'
'name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]'	'The Cricketers is near Ranch with a low rating, it is a coffee shop and it is family friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is kid friendly with a 1 out of 5 rating, it is near Avalon and it is a restaurant.'
'name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]'	'The Cricketers is near Avalon with a 3 out of 5 rating, it is a restaurant and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with a 3 out of 5 rating, it is a restaurant and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a restaurant and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with a 5 out of 5 rating, it is a restaurant and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]'	'The Cricketers is near Café Sicilia with an average rating, it is a restaurant and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Cricketers is near Crowne Plaza Hotel with an average rating, it is a restaurant and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is near Café Sicilia with an average rating, it is a restaurant and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]'	'The Cricketers is near Café Sicilia with a high rating, it is a restaurant and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]'	'The Cricketers is near Express by Holiday Inn with a high rating, it is a restaurant and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]'	'The Cricketers is near Express by Holiday Inn with a low rating, it is a restaurant and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]'	'The Cricketers is near Ranch with a low rating, it is a restaurant and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]'	'The Cricketers is near Ranch with a low rating, it is a restaurant and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is a chinese restaurant with a price range of £20-25 with a high rating, it is near All Bar One in city centre and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a price range of £20-25 with a high rating, it is kid friendly and a chinese restaurant and it is a restaurant.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a chinese restaurant with a price range of £20-25 with a high rating, it is near All Bar One in riverside and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a chinese restaurant and kid friendly with a price range of £20-25 with a high rating and it is near All Bar One in riverside.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is near All Bar One in city centre with a 5 out of 5 rating, it is a chinese restaurant and cheap and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a 5 out of 5 rating, it is a chinese restaurant and family friendly and it is cheap.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a chinese restaurant and cheap with a 5 out of 5 rating, it is near All Bar One in riverside and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a 5 out of 5 rating, it is a chinese restaurant and family friendly and it is cheap.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is near All Bar One in city centre with an average rating, it is a chinese restaurant and cheap and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with an average rating, it is a chinese restaurant and family friendly and it is cheap.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a chinese restaurant and cheap with an average rating, it is near All Bar One in riverside and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with an average rating, it is a chinese restaurant and family friendly and it is cheap.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and expensive and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and kid friendly and it is expensive.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and expensive and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and expensive and it is kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with an average rating, it is a chinese restaurant and expensive and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with an average rating, it is a chinese restaurant and kid friendly and it is expensive.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with an average rating, it is a chinese restaurant and expensive and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with an average rating, it is a chinese restaurant and kid friendly and it is expensive.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers costs less than £20 with a low rating, it is near All Bar One in city centre, it is a chinese restaurant and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers costs less than £20 with a low rating, it is near All Bar One in city centre and it is a chinese restaurant and family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers costs less than £20 with a low rating, it is near All Bar One in riverside, it is a chinese restaurant and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a low rating, it is a chinese restaurant and family friendly and it costs less than £20.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and moderately priced and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and kid friendly and it is moderately priced.'
