src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly english restaurant in riverside near Rainbow Vegetarian Café.	0.8666	0.8777	3.9073	0.4822	0.8386	2.0466
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.	0.8296	0.8389	6.0551	0.4898	0.7061	3.5819
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a coffee shop located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.	0.7890	0.7998	5.3776	0.5338	0.7728	3.6846
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns is a coffee shop near The Sorrento.	0.0000	0.2034	1.9462	0.3503	0.3268	2.8208
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is a pub near All Bar One with a customer rating of 3 out of 5.	0.7033	0.7193	5.0404	0.4608	0.7059	3.2845
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.7938	0.8073	5.1763	0.5388	0.7959	3.7297
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is a pub near the The Sorrento.	0.0000	0.1977	1.7611	0.3248	0.2328	2.7447
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is a coffee shop near Burger King with a high customer rating.	0.5441	0.5881	3.5214	0.3625	0.6650	2.8111
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Cocum is a coffee shop near Café Sicilia with a high customer rating.	0.5441	0.5881	4.3759	0.4324	0.7692	3.2368
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Cocum is a low rated coffee shop near Café Sicilia.	0.2128	0.2712	2.0169	0.3547	0.5947	2.8089
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Cocum is a low rated coffee shop near Express by Holiday Inn.	0.5773	0.6108	3.3919	0.4236	0.7262	3.3639
name[Cocum], eatType[coffee shop], near[The Rice Boat]	Cocum is a coffee shop near The Rice Boat.	0.8187	0.8187	3.5729	0.4631	0.7668	5.4375
name[Cocum], eatType[coffee shop], near[The Sorrento]	Cocum is a coffee shop near The Sorrento.	0.5969	0.6580	2.8177	0.4905	0.8750	5.8946
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum is a pub near Burger King with a high customer rating.	0.4863	0.5441	3.5599	0.3686	0.6689	2.9258
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a high customer rating.	0.4863	0.5441	4.3261	0.4182	0.7500	3.0771
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a low customer rating.	0.3891	0.4409	3.5955	0.4964	0.6667	4.2402
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum is a pub near Express by Holiday Inn with a low customer rating.	0.9365	0.9415	6.3443	1.0000	1.0000	4.4614
name[Cocum], eatType[pub], near[The Rice Boat]	Cocum is a pub near the The Rice Boat.	0.6443	0.6796	3.6153	0.4053	0.7081	4.2203
name[Cocum], eatType[pub], near[The Sorrento]	Cocum is a pub near the The Sorrento.	0.4317	0.5254	2.3333	0.4625	0.8097	5.1695
name[Cotto], eatType[coffee shop], near[The Bakers]	Cotto is a coffee shop near The Bakers.	0.3852	0.4623	2.7073	0.3950	0.6536	3.2238
name[Cotto], eatType[pub], near[The Bakers]	Cotto is a pub near the The Bakers.	0.0001	0.3515	3.1683	0.3434	0.5821	2.9344
name[Giraffe], eatType[coffee shop], near[The Bakers]	Giraffe is a coffee shop near The Bakers.	0.6690	0.7030	3.4256	0.4776	0.9313	5.4542
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Giraffe is a coffee shop near The Rice Boat.	0.4548	0.5059	3.2060	0.4074	0.3929	4.2344
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly english pub near Rainbow Vegetarian Café in riverside.	0.3543	0.4307	1.7525	0.3737	0.5887	1.7038
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food pub located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.	0.9579	0.9602	6.6689	0.6102	0.9699	4.1684
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food pub located in the city centre near Rainbow Vegetarian Café.	0.8728	0.8815	4.9257	0.5229	0.9350	4.1388
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food pub near Rainbow Vegetarian Café in riverside. It is not family-friendly.	0.8950	0.9019	7.2465	0.9795	0.8750	3.0935
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food pub in riverside near Rainbow Vegetarian Café.	0.9306	0.9365	5.1123	0.4576	0.7795	2.6588
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food pub in riverside near Raja Indian Cuisine.	0.7983	0.8046	4.1333	0.4576	0.8026	2.0793
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a french pub near Raja Indian Cuisine in the city centre. It is not family-friendly.	0.8118	0.8173	4.9539	0.4854	0.6926	2.6521
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french pub near Raja Indian Cuisine in the city centre.	0.4689	0.5072	2.8442	0.4096	0.5501	1.9095
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a french pub near Raja Indian Cuisine in riverside. It is not family-friendly.	0.8917	0.8952	6.8109	0.4838	0.8980	1.5650
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a kid friendly french pub near Raja Indian Cuisine in riverside.	0.3242	0.3683	2.9328	0.3614	0.5642	1.3980
name[Giraffe], eatType[pub], near[The Bakers]	Giraffe is a pub near the The Bakers.	0.4671	0.5623	3.0856	0.4182	0.8750	4.1483
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe is a pub near the The Rice Boat.	0.0001	0.3513	3.2070	0.3838	0.4171	3.8335
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly english restaurant in riverside near Rainbow Vegetarian Café.	0.5546	0.5949	2.0056	0.3889	0.7052	1.7582
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food restaurant located in the city centre near the Rainbow Vegetarian Café. It is not family-friendly.	1.0000	1.0000	6.6141	1.0000	1.0000	4.9079
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food restaurant located in the city centre near the Rainbow Vegetarian Café.	0.8230	0.8350	5.3139	0.4981	0.9365	3.9503
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.8087	0.8195	6.5282	0.5555	0.8324	3.0142
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food restaurant in riverside near Rainbow Vegetarian Café.	0.9306	0.9365	5.1123	0.4576	0.7795	2.6694
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food restaurant in riverside near Raja Indian Cuisine.	0.7983	0.8046	4.1333	0.4576	0.8026	2.1015
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non family-friendly french restaurant near Raja Indian Cuisine in the city centre.	0.5025	0.5198	2.6226	0.4506	0.7242	1.2940
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french restaurant in the city centre near the Raja Indian Cuisine.	0.7380	0.7529	3.8646	0.4535	0.8348	2.3530
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non family-friendly french restaurant near Raja Indian Cuisine in the riverside area.	0.5787	0.6102	4.4764	0.5395	0.8328	1.3114
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly french restaurant in riverside near Raja Indian Cuisine.	0.5465	0.5640	3.2786	0.3787	0.7523	1.4798
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One that has a customer rating of 1 out of 5.	0.7336	0.7481	5.1960	0.5354	0.7500	3.1382
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.	0.7794	0.7905	6.0681	0.4989	0.7437	3.0554
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Green Man is a pub near All Bar One with a customer rating of 1 out of 5.	0.6675	0.6854	5.0408	0.5031	0.7125	3.1148
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Green Man is a pub near All Bar One with a customer rating of 3 out of 5.	0.9071	0.9126	6.5710	0.4841	0.7993	3.0442
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly italian pub in riverside near Express by Holiday Inn.	0.9415	0.9457	4.2232	0.5089	0.8580	2.3170
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly italian pub in riverside near Raja Indian Cuisine.	0.5606	0.5830	4.3384	0.4120	0.6271	2.6422
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a japanese pub near Express by Holiday Inn in the city centre. It is not family-friendly.	0.7910	0.7999	5.3391	0.4895	0.8427	3.2909
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese pub near Express by Holiday Inn in the city centre.	0.8939	0.9009	4.7273	0.5242	0.8944	4.1653
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a japanese pub near Express by Holiday Inn in riverside. It is not family-friendly.	0.6548	0.6785	5.3965	0.4908	0.7770	3.1879
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese pub in riverside near Express by Holiday Inn.	0.9802	0.9816	5.2884	0.5287	0.8652	3.0849
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly italian restaurant in riverside near Express by Holiday Inn.	0.9415	0.9457	4.2232	0.5089	0.8580	2.3090
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly italian restaurant in riverside near Raja Indian Cuisine.	0.5606	0.5830	4.3384	0.4120	0.6271	2.6331
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a japanese restaurant near Express by Holiday Inn in the city centre. It is not family-friendly.	0.7910	0.7999	5.3391	0.4895	0.8427	3.2393
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese restaurant located in the city centre near the Express by Holiday Inn.	0.6154	0.6407	4.8660	0.4748	0.6667	3.9858
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a japanese restaurant near Express by Holiday Inn in the riverside area. It is not family-friendly.	0.6760	0.6959	6.1194	0.4611	0.7407	3.5943
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese restaurant in riverside near Express by Holiday Inn.	0.9802	0.9816	5.2884	0.5287	0.8652	3.0776
name[Loch Fyne], eatType[coffee shop], area[riverside]	A coffee shop in riverside is Loch Fyne.	0.3145	0.3955	2.4161	0.4000	0.4692	2.6218
name[Loch Fyne], eatType[pub], area[riverside]	There is a pub called Loch Fyne in the riverside area.	0.3228	0.4005	3.6784	0.4136	0.5861	2.8538
name[Strada], eatType[coffee shop], area[city centre]	Strada is a coffee shop in the city centre.	0.9036	0.9147	4.5810	0.4543	0.7428	4.4316
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a coffee shop near All Bar One that has a customer rating of 1 out of 5.	1.0000	1.0000	5.9173	0.6521	0.9699	4.6921
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a coffee shop near Rainbow Vegetarian Café that has a customer rating of 1 out of 5.	0.7290	0.7448	5.0477	0.4919	0.6193	3.4119
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Strada is a low rated coffee shop near Express by Holiday Inn.	0.7034	0.7311	3.9697	0.4391	0.7943	4.0515
name[Strada], eatType[pub], area[city centre]	Strada is a pub located in the city centre.	0.8633	0.8801	4.9148	0.4570	0.7428	3.8932
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada is a pub near All Bar One with a customer rating of 1 out of 5.	0.9009	0.9071	5.3198	0.5571	0.8801	3.9674
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.	0.6622	0.6816	5.2999	0.4680	0.6471	3.6042
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada is a pub near Express by Holiday Inn with a low customer rating.	0.6786	0.6995	5.0642	0.5543	0.9215	4.9577
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly coffee shop near Avalon with a customer rating of 1 out of 5.	0.9554	0.9579	6.9829	0.6050	0.9699	3.2713
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a coffee shop near Avalon. It has a customer rating of 3 out of 5 and is kid friendly.	0.8129	0.8220	6.9863	0.4913	0.8395	3.4514
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It has a customer rating of 3 out of 5 and is kid friendly.	0.7615	0.7721	6.2652	0.5125	0.7888	3.6511
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5. It is not family-friendly.	0.7179	0.7304	4.8088	0.5127	0.7827	2.6713
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.	1.0000	1.0000	6.6540	0.5969	0.9739	4.7554
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average rating.	0.0000	0.2499	4.8314	0.4020	0.5351	2.4946
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has an average rating.	0.0000	0.2465	3.6923	0.4470	0.6231	2.8069
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a child friendly coffee shop near Café Sicilia. It has an average customer rating.	0.9840	0.9850	7.1886	0.5762	0.9412	3.5410
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a highly rated, child friendly coffee shop near Café Sicilia.	0.7012	0.7254	4.1891	0.4196	0.7000	2.3567
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a highly rated, child friendly coffee shop near Express by Holiday Inn.	0.8939	0.9009	6.3407	0.5761	0.8980	2.8315
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a coffee shop near Express by Holiday Inn that is not family-friendly. It has a low customer rating.	0.7401	0.7532	5.6788	0.5570	0.9048	3.3203
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a coffee shop near Ranch that is not family-friendly. It has a low customer rating.	0.7903	0.8034	5.8535	0.4910	0.6540	3.7338
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a coffee shop near Ranch that is family friendly and has a low customer rating.	0.7206	0.7384	6.1835	0.5408	0.8324	3.4867
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 1 out of 5.	0.9526	0.9554	7.0243	0.5999	0.9683	3.0362
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 3 out of 5.	0.9672	0.9692	6.3823	0.5223	0.8574	3.6059
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a kid friendly restaurant near Crowne Plaza Hotel with a customer rating of 3 out of 5.	1.0000	1.0000	6.6820	0.6013	0.9228	4.4160
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.	0.7961	0.8051	5.3124	0.5575	0.9206	2.4139
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a 5 out of 5 customer rating.	1.0000	1.0000	7.0508	0.5706	0.9474	4.2564
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a restaurant near Café Sicilia. It has an average customer rating and is not family-friendly.	0.4673	0.5020	5.1448	0.4429	0.6111	2.6092
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel. It has an average customer rating and is not family-friendly.	0.0000	0.1919	3.3783	0.4233	0.6131	2.2436
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	Near Café Sicilia is a family friendly restaurant called The Cricketers. It has an average customer rating.	0.8617	0.8709	7.1347	0.5967	0.9750	3.0167
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a children friendly restaurant near Café Sicilia. It has a high customer rating.	1.0000	1.0000	6.6348	0.5740	0.9085	3.4307
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a children friendly restaurant near Express by Holiday Inn. It has a high customer rating.	1.0000	1.0000	7.6243	0.5422	0.8889	3.7113
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a restaurant near Express by Holiday Inn. It is not family-friendly and has a low customer rating.	1.0000	1.0000	6.2036	1.0000	1.0000	3.8803
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a restaurant near Ranch. It is not family-friendly and has a low customer rating.	0.7206	0.7384	5.7764	0.5147	0.6585	4.1183
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly restaurant near Ranch. It has a low customer rating.	1.0000	1.0000	6.3546	1.0000	1.0000	4.3470
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre. Its customer rating is high. It is near All Bar One. It is not kids friendly.	0.5703	0.5818	6.1362	0.4503	0.6071	1.8719
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.	0.9295	0.9316	7.0430	0.5512	0.9100	2.2132
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. Its customer rating is high. It is near All Bar One. It is not kids friendly.	0.7572	0.7638	5.7035	0.5301	0.7228	2.8503
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. It is near the All Bar One. Its customer rating is high.	0.8008	0.8052	4.8972	0.5284	0.8946	4.0202
