src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family-friendly pub serving chinese food in the city centre near Rainbow Vegetarian Café.	0.5090	0.5442	1.6645	0.4385	0.5827	0.8219
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese pub in the city centre near Rainbow Vegetarian Café.	0.5069	0.5208	3.3986	0.4039	0.7451	2.3166
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub located near Rainbow Vegetarian Café in the riverside area. It is not family friendly.	0.6196	0.6411	5.0551	0.4068	0.7422	3.1866
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese pub in the riverside area near Rainbow Vegetarian Café.	0.8333	0.8450	5.6831	0.5121	0.9085	3.1417
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non family-friendly english pub located in the city centre near Rainbow Vegetarian Café.	0.6072	0.6226	3.0346	0.4141	0.7459	1.4071
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english pub in the city centre near Rainbow Vegetarian Café.	0.8320	0.8397	4.4541	0.5588	0.7707	3.4878
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.4776	0.5170	5.1219	0.4263	0.6540	2.3768
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly english pub in the riverside area near Rainbow Vegetarian Café.	0.8468	0.8579	5.6558	0.4645	0.8595	2.4627
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café that is not family friendly.	0.5069	0.5408	2.7612	0.4487	0.6128	1.2251
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant in the city centre near Rainbow Vegetarian Café.	0.5069	0.5208	3.3986	0.4039	0.7451	2.4050
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant providing chinese food it is located in the riverside. It is not family friendly and is located near Rainbow Vegetarian Café.	0.8781	0.8800	6.2680	0.5970	0.8905	3.3199
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant in the riverside area near Rainbow Vegetarian Café.	0.8333	0.8450	5.6831	0.5121	0.9085	3.1536
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family-friendly english restaurant located in the city centre near Rainbow Vegetarian Café.	0.5946	0.6079	2.4850	0.4141	0.7080	1.1256
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english restaurant in the city centre near Rainbow Vegetarian Café.	0.8320	0.8397	4.4541	0.5588	0.7707	3.4948
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family-friendly english restaurant in the riverside area near Rainbow Vegetarian Café.	0.3951	0.4346	2.8193	0.4075	0.6219	1.5506
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly english restaurant in the riverside area near Rainbow Vegetarian Café.	0.8468	0.8579	5.6558	0.4645	0.8595	2.4916
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is a coffee shop near All Bar One with a customer rating of 3 out of 5.	0.7557	0.7673	5.2188	0.4721	0.6667	3.4269
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	With a customer rating of 5 out of 5, Clowns is a coffee shop near Crowne Plaza Hotel.	0.8192	0.8296	5.6588	0.5459	0.7034	3.6443
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns is a coffee shop located near The Sorrento.	0.0000	0.2053	1.9977	0.3429	0.3128	2.9257
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is a pub near All Bar One with a customer rating of 3 out of 5.	0.7033	0.7193	5.0404	0.4608	0.7059	3.2845
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.7938	0.8073	5.1763	0.5388	0.7959	3.7297
name[Clowns], eatType[pub], near[The Sorrento]	Near The Sorrento is a pub named Clowns.	0.0000	0.1977	1.7611	0.3120	0.3492	2.6187
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is a coffee shop located near Burger King with a high customer rating.	0.5881	0.6235	3.9222	0.4004	0.7079	3.0383
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Cocum is a coffee shop located near Café Sicilia with a high customer rating.	0.7098	0.7329	4.7877	0.5007	0.8203	3.5448
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Cocum is a low rated coffee shop near Café Sicilia.	0.2128	0.2712	2.0169	0.3547	0.5947	2.8089
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Cocum is a low rated coffee shop near Express by Holiday Inn.	0.5773	0.6108	3.3919	0.4236	0.7262	3.3639
name[Cocum], eatType[coffee shop], near[The Rice Boat]	Cocum is a coffee shop located near The Rice Boat.	0.7426	0.7619	4.2234	0.4224	0.7701	4.9383
name[Cocum], eatType[coffee shop], near[The Sorrento]	Cocum is a coffee shop located near The Sorrento.	0.5254	0.5877	2.5359	0.4773	0.8324	5.7125
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum is a pub near Burger King with a high customer rating.	0.4863	0.5441	3.5599	0.3686	0.6689	2.9258
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a high customer rating.	0.4863	0.5441	4.3261	0.4182	0.7500	3.0771
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a low customer rating.	0.3891	0.4409	3.5955	0.4964	0.6667	4.2402
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum is a pub near Express by Holiday Inn with a low customer rating.	0.9365	0.9415	6.3443	1.0000	1.0000	4.4614
name[Cocum], eatType[pub], near[The Rice Boat]	Near The Rice Boat is a pub named Cocum.	0.3831	0.4666	3.0806	0.3995	0.5556	3.6050
name[Cocum], eatType[pub], near[The Sorrento]	Near The Sorrento is a pub named Cocum.	0.0001	0.3357	2.3333	0.4169	0.4049	3.1051
name[Cotto], eatType[coffee shop], near[The Bakers]	Cotto is a coffee shop located near The Bakers.	0.3831	0.4666	3.1073	0.4490	0.6256	3.4274
name[Cotto], eatType[pub], near[The Bakers]	Near The Bakers is a pub named Cotto.	0.0001	0.3271	2.7070	0.4292	0.4826	2.5785
name[Giraffe], eatType[coffee shop], near[The Bakers]	Giraffe is a coffee shop located near The Bakers.	0.6580	0.7017	3.2258	0.4674	0.8889	5.4407
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Giraffe is a coffee shop located near The Rice Boat.	0.4531	0.5099	3.3551	0.4003	0.3777	4.4323
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly english pub in the riverside area near Rainbow Vegetarian Café.	0.6931	0.7194	3.4301	0.4733	0.7333	2.0857
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.	0.8219	0.8293	6.3061	0.5010	0.7299	3.4614
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food pub in the city centre near Rainbow Vegetarian Café.	0.9193	0.9254	4.5936	0.5602	0.9333	4.0061
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a non-family-friendly pub serving fast food in the riverside area near Rainbow Vegetarian Café.	0.3634	0.4129	4.3849	0.4876	0.7028	2.0395
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food pub in the riverside area near Rainbow Vegetarian Café.	0.8546	0.8660	6.8757	0.4885	0.8125	2.9747
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food pub in the riverside area near Raja Indian Cuisine.	1.0000	1.0000	5.7959	0.5339	0.7666	2.5845
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non-family-friendly french pub located in the city centre near Raja Indian Cuisine.	0.4662	0.4872	2.2113	0.4706	0.6400	1.0190
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french pub located in the city centre near Raja Indian Cuisine.	0.6690	0.6904	3.9514	0.4237	0.7752	2.1309
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a french pub located near Raja Indian Cuisine in the riverside area. It is not family-friendly.	0.7290	0.7448	6.6390	0.4590	0.8324	1.5131
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly french pub in the riverside area near Raja Indian Cuisine.	0.5592	0.5848	4.9505	0.3669	0.7155	1.7785
name[Giraffe], eatType[pub], near[The Bakers]	Near The Bakers is a pub named Giraffe.	0.5170	0.6105	3.6739	0.5069	0.5000	4.7643
name[Giraffe], eatType[pub], near[The Rice Boat]	Near The Rice Boat is a pub named Giraffe.	0.3831	0.4666	3.2070	0.4658	0.7858	3.8665
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly english restaurant in the riverside area near Rainbow Vegetarian Café.	0.6931	0.7194	3.4301	0.4733	0.7333	2.1002
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a non-family-friendly fast food restaurant in the city centre near Rainbow Vegetarian Café.	0.4409	0.4655	3.4267	0.4687	0.7799	1.7895
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food restaurant in the city centre near Rainbow Vegetarian Café.	0.9193	0.9254	4.5936	0.5602	0.9333	4.0058
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a non-family-friendly fast food restaurant in the riverside area near Rainbow Vegetarian Café.	0.4429	0.4963	4.7472	0.4683	0.7011	2.0596
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food restaurant in the riverside area near Rainbow Vegetarian Café.	0.8546	0.8660	6.8757	0.4885	0.8125	2.9864
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food restaurant in the riverside area near Raja Indian Cuisine.	1.0000	1.0000	5.7959	0.5339	0.7666	2.6025
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non-family-friendly french restaurant located in the city centre near Raja Indian Cuisine.	0.4662	0.4872	2.2113	0.4706	0.6400	1.0326
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french restaurant located in the city centre near Raja Indian Cuisine.	0.6690	0.6904	3.9514	0.4237	0.7752	2.1104
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non-family-friendly french restaurant in the riverside area near Raja Indian Cuisine.	0.3992	0.4561	3.3176	0.5083	0.6567	0.8647
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french restaurant in the riverside area near Raja Indian Cuisine.	0.4387	0.4745	4.1085	0.3669	0.6421	1.5288
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One with a customer rating of 1 out of 5.	0.7023	0.7172	5.2217	0.5114	0.7146	3.1721
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One with a customer rating of 3 out of 5.	0.9126	0.9174	6.6831	0.4907	0.7721	3.0800
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Green Man is a pub near All Bar One with a customer rating of 1 out of 5.	0.6675	0.6854	5.0408	0.5031	0.7125	3.1148
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Green Man is a pub near All Bar One with a customer rating of 3 out of 5.	0.9071	0.9126	6.5710	0.4841	0.7993	3.0442
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly italian pub in the riverside area near Express by Holiday Inn.	0.9494	0.9526	6.0181	0.9632	0.9096	2.8152
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly italian pub in the riverside area near Raja Indian Cuisine.	0.4576	0.4979	4.8830	0.4057	0.5991	2.9508
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a pub located in the city centre near the Express by Holiday Inn. It is not family-friendly and serves japanese food.	0.6454	0.6622	5.6426	0.5125	0.5980	4.1200
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese pub located in the city centre near Express by Holiday Inn.	0.5857	0.6154	4.5454	0.4768	0.6822	3.7058
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non-family-friendly pub serving japanese food in the riverside area near Express by Holiday Inn.	0.7984	0.8114	5.6103	0.4924	0.8909	2.9331
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese pub in the riverside area near Express by Holiday Inn.	1.0000	1.0000	7.0611	0.5599	0.9412	3.5616
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly italian restaurant in the riverside area near Express by Holiday Inn.	0.9254	0.9306	5.0432	0.9632	0.8701	2.5458
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family-friendly italian restaurant in the riverside area near Raja Indian Cuisine.	0.4025	0.4422	4.1547	0.4057	0.5562	2.4783
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non-family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.	0.4589	0.4830	3.5808	0.4378	0.5682	1.8907
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.	0.5857	0.6154	4.5454	0.4768	0.6822	3.7112
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non-family-friendly japanese restaurant near Express by Holiday Inn in the riverside area.	0.5623	0.5975	4.1414	0.4420	0.7423	2.3425
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese restaurant in the riverside area near Express by Holiday Inn.	1.0000	1.0000	7.0611	0.5599	0.9412	3.5482
name[Loch Fyne], eatType[coffee shop], area[riverside]	In the riverside area, Loch Fyne is a coffee shop with a high price range.	0.4385	0.4763	2.9564	0.4472	0.5810	3.9607
name[Loch Fyne], eatType[pub], area[riverside]	By the riverside is a pub called Loch Fyne.	0.0001	0.3265	2.6270	0.4279	0.4444	2.7473
name[Strada], eatType[coffee shop], area[city centre]	In the city centre Strada is a coffee shop with a price range of more than £30.	0.3541	0.3967	2.7636	0.3817	0.5272	1.6328
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a coffee shop near All Bar One with a customer rating of 1 out of 5.	0.9071	0.9126	5.3986	0.5653	0.8863	4.1791
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a coffee shop near Rainbow Vegetarian Café with a customer rating of 1 out of 5.	0.6836	0.7005	5.3182	0.4765	0.6111	3.5314
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Strada is a low rated coffee shop near Express by Holiday Inn.	0.7034	0.7311	3.9697	0.4391	0.7943	4.0515
name[Strada], eatType[pub], area[city centre]	In the city centre, Strada is a pub.	0.6312	0.6887	4.9108	0.4005	0.6985	2.9564
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada is a pub near All Bar One with a customer rating of 1 out of 5.	0.9009	0.9071	5.3198	0.5571	0.8801	3.9674
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.	0.6622	0.6816	5.2999	0.4680	0.6471	3.6042
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada is a pub near Express by Holiday Inn with a low customer rating.	0.6786	0.6995	5.0642	0.5543	0.9215	4.9577
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a children friendly coffee shop located near Avalon with a customer rating of 1 out of 5.	0.9426	0.9457	7.1272	0.5838	0.9000	3.0999
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a children friendly coffee shop near Avalon with a customer rating of 3 out of 5.	0.8640	0.8718	6.0797	0.5225	0.8654	3.6976
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a children friendly coffee shop near Crowne Plaza Hotel with a customer rating of 3 out of 5.	1.0000	1.0000	6.8287	0.6140	0.9727	4.7305
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.	0.8051	0.8133	5.3585	0.5622	0.9242	2.4719
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.9866	0.9873	6.7111	0.9745	0.9349	4.6513
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average customer rating.	0.3928	0.4328	5.1153	0.4523	0.5804	2.5865
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has an average customer rating.	0.0000	0.2123	3.5239	0.4316	0.6076	2.4117
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a children friendly coffee shop near Café Sicilia. It has an average customer rating.	1.0000	1.0000	7.2761	0.5893	0.9750	3.6722
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a kid friendly coffee shop near Café Sicilia with a high customer rating.	0.8282	0.8394	5.1592	0.9842	0.9375	3.4471
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a child friendly coffee shop located near Express by Holiday Inn. It has a high customer rating.	0.9866	0.9873	7.4519	0.5296	0.8737	3.8220
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.	1.0000	1.0000	6.2282	1.0000	1.0000	3.9556
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.	0.7533	0.7680	5.8219	0.5235	0.6788	4.2770
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a coffee shop near Ranch. It is children friendly and has a low customer rating.	0.7648	0.7791	6.1608	0.4903	0.8324	3.5782
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a children friendly restaurant near Avalon with a customer rating of 1 out of 5.	0.9166	0.9219	6.5948	0.5905	0.9145	3.0124
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a children friendly restaurant with a customer rating of 3 out of 5. It is located near Avalon.	0.8995	0.9043	6.5429	0.9860	0.9309	3.6907
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	With a customer rating of 3 out of 5, The Cricketers is a children friendly restaurant located near Crowne Plaza Hotel.	1.0000	1.0000	6.5579	0.9872	0.9524	4.7289
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.	0.7961	0.8051	5.3124	0.5575	0.9206	2.4139
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a children friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.9858	0.9866	6.9731	0.5832	0.8969	4.2856
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a restaurant near Café Sicilia that has an average customer rating and is not family-friendly.	0.4342	0.4688	4.9546	0.4429	0.6111	2.5054
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel. It has an average customer rating and is not family-friendly.	0.0000	0.1919	3.3783	0.4233	0.6131	2.2436
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a children friendly restaurant near Café Sicilia with an average customer rating.	1.0000	1.0000	6.8507	0.5815	0.9716	3.2657
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a children friendly restaurant near Café Sicilia with a high customer rating.	1.0000	1.0000	6.0307	1.0000	1.0000	3.5343
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a children friendly restaurant near Express by Holiday Inn with a high customer rating.	1.0000	1.0000	7.5331	0.5959	0.9664	3.5322
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a restaurant near Express by Holiday Inn. It is not family-friendly and has a low customer rating.	1.0000	1.0000	6.2036	1.0000	1.0000	3.8803
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a restaurant near Ranch. It is not family-friendly and has a low customer rating.	0.7206	0.7384	5.7764	0.5147	0.6585	4.1183
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly restaurant located near Ranch. It has a low customer rating.	1.0000	1.0000	6.7311	1.0000	0.9734	4.2031
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant providing chinese food in the £20-£ 25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.	0.5295	0.5415	5.8312	0.4676	0.6683	2.3960
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing chinese food in the £20-25 price range. It is located in the city centre. Its customer rating is high. It is kids friendly. It is located near All Bar One.	0.7887	0.7933	6.4819	0.5924	0.7930	1.6995
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.	0.9272	0.9295	6.2835	0.5465	0.9069	3.8603
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.	1.0000	1.0000	5.6467	1.0000	1.0000	6.0494
