src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese pub near Rainbow Vegetarian Café in the riverside area.	0.9084	0.9147	6.1092	0.4945	0.8051	3.0795
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family-friendly english pub near Rainbow Vegetarian Café in the city centre.	0.4917	0.5095	1.7801	0.3645	0.5908	0.9437
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english pub in the city centre near Rainbow Vegetarian Café.	0.8320	0.8397	4.4541	0.5588	0.7707	3.4878
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.4776	0.5170	5.1219	0.4263	0.6540	2.3768
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly english pub near Rainbow Vegetarian Café in the riverside area.	0.9457	0.9494	6.3687	0.5076	0.8772	2.5383
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family-friendly chinese restaurant in the city centre near Rainbow Vegetarian Café.	0.5569	0.5925	0.9960	0.4487	0.6049	0.6522
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant in the city centre near Rainbow Vegetarian Café.	0.5069	0.5208	3.3986	0.4039	0.7451	2.4050
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family friendly chinese restaurant in the riverside area near Rainbow Vegetarian Café.	0.4268	0.4520	3.0606	0.3798	0.6536	1.8746
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant in the riverside area near Rainbow Vegetarian Café.	0.8333	0.8450	5.6831	0.5121	0.9085	3.1536
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english restaurant located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.	0.7587	0.7720	4.6692	0.4258	0.6319	1.9514
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english restaurant in the city centre near Rainbow Vegetarian Café.	0.8320	0.8397	4.4541	0.5588	0.7707	3.4948
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non-family-friendly english restaurant in the riverside area near Rainbow Vegetarian Café.	0.3951	0.4346	2.8193	0.4075	0.6219	1.5506
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly english restaurant in the riverside area near Rainbow Vegetarian Café.	0.8468	0.8579	5.6558	0.4645	0.8595	2.4916
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	With a customer rating of 3 out of 5, Clowns is a coffee shop near All Bar One.	0.7897	0.8019	5.6081	0.4721	0.6385	3.4614
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	With a customer rating of 5 out of 5, Clowns is a coffee shop near Crowne Plaza Hotel.	0.8192	0.8296	5.6588	0.5459	0.7034	3.6443
name[Clowns], eatType[coffee shop], near[The Sorrento]	Near The Sorrento is Clowns. It is a coffee shop.	0.0000	0.2390	1.7297	0.3430	0.5000	2.7398
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is a pub near All Bar One. It has a customer rating of 3 out of 5.	0.7852	0.7979	5.9319	0.4798	0.7467	3.4445
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.7938	0.8073	5.1763	0.5388	0.7959	3.7297
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is a pub near The Sorrento.	0.0000	0.1955	1.6830	0.3199	0.2445	2.7258
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is a high customer rating coffee shop near Burger King.	0.4639	0.5203	2.7513	0.3957	0.4453	2.3923
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Near Café Sicilia is a highly rated coffee shop named Cocum.	0.6687	0.7034	4.7278	0.9379	0.8182	3.4372
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	With a low customer rating, Cocum is a coffee shop near Café Sicilia.	0.5598	0.5927	3.8742	0.5044	0.6923	4.1401
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	With a low customer rating, Cocum is a coffee shop near Express by Holiday Inn.	0.7867	0.8011	5.5141	0.5990	0.6667	4.0240
name[Cocum], eatType[coffee shop], near[The Rice Boat]	Near The Rice Boat is Cocum. It is a coffee shop.	0.4250	0.4842	3.0874	0.4251	0.4803	3.7094
name[Cocum], eatType[coffee shop], near[The Sorrento]	Near The Sorrento is Cocum. It is a coffee shop.	0.2709	0.3542	2.1133	0.4460	0.5669	3.3906
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum is a pub near Burger King with a high customer rating.	0.4863	0.5441	3.5599	0.3686	0.6689	2.9258
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a high customer rating.	0.4863	0.5441	4.3261	0.4182	0.7500	3.0771
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Cocum is a pub near Café Sicilia with a low customer rating.	0.3891	0.4409	3.5955	0.4964	0.6667	4.2402
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum is a pub near Express by Holiday Inn with a low customer rating.	0.9365	0.9415	6.3443	1.0000	1.0000	4.4614
name[Cocum], eatType[pub], near[The Rice Boat]	Cocum is a pub near The Rice Boat.	0.7651	0.7705	3.2751	0.4409	0.7388	5.1739
name[Cocum], eatType[pub], near[The Sorrento]	Cocum is a pub near The Sorrento.	0.5000	0.5969	2.6250	0.4677	0.8571	5.8130
name[Cotto], eatType[coffee shop], near[The Bakers]	Near The Bakers is Cotto. It is a coffee shop.	0.0001	0.3200	2.9739	0.3674	0.4248	2.8884
name[Cotto], eatType[pub], near[The Bakers]	Cotto is a pub near The Bakers.	0.3638	0.4456	2.4313	0.3683	0.6112	3.1195
name[Giraffe], eatType[coffee shop], near[The Bakers]	Near The Bakers is Giraffe. It is a coffee shop.	0.3265	0.4090	2.5824	0.4376	0.5314	3.8745
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Near The Rice Boat is Giraffe. It is a coffee shop.	0.4250	0.4842	3.0401	0.4153	0.6902	3.9751
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly english pub near Rainbow Vegetarian Café in the riverside area.	0.5512	0.5932	3.1560	0.4539	0.6090	1.9235
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food pub located near Rainbow Vegetarian Café in the city centre. It is not family-friendly.	0.8718	0.8788	6.7392	0.5354	0.7657	3.7395
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food pub in the city centre near Rainbow Vegetarian Café.	0.9193	0.9254	4.5936	0.5602	0.9333	4.0061
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.8087	0.8195	6.5282	0.5555	0.8324	3.0198
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food pub in the riverside area near Rainbow Vegetarian Café.	0.8546	0.8660	6.8757	0.4885	0.8125	2.9747
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food pub in the riverside area near Raja Indian Cuisine.	1.0000	1.0000	5.7959	0.5339	0.7666	2.5845
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non-family-friendly french pub near Raja Indian Cuisine in the city centre.	0.4863	0.5012	2.0504	0.4506	0.7411	0.8564
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french pub in the city centre near Raja Indian Cuisine.	0.5992	0.6232	3.3005	0.4228	0.7946	1.9384
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a french pub near Raja Indian Cuisine in the riverside area. It is not family-friendly.	0.7682	0.7819	6.7877	0.4839	0.8531	1.5807
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly french pub in riverside near Raja Indian Cuisine.	0.5465	0.5640	3.2786	0.3787	0.7523	1.4966
name[Giraffe], eatType[pub], near[The Bakers]	Giraffe is a pub near The Bakers.	0.6102	0.6598	3.2818	0.4555	0.9222	5.1850
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe is a pub near The Rice Boat.	0.3681	0.4448	3.0046	0.3864	0.4357	4.2878
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly english restaurant in the riverside area near Rainbow Vegetarian Café.	0.6931	0.7194	3.4301	0.4733	0.7333	2.1002
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a non-family-friendly fast food restaurant in the city centre near Rainbow Vegetarian Café.	0.4409	0.4655	3.4267	0.4687	0.7799	1.7895
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly fast food restaurant in the city centre near Rainbow Vegetarian Café.	0.9193	0.9254	4.5936	0.5602	0.9333	4.0058
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a fast food restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.8087	0.8195	6.5282	0.5555	0.8324	3.0142
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly fast food restaurant in the riverside area near Rainbow Vegetarian Café.	0.8546	0.8660	6.8757	0.4885	0.8125	2.9864
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food restaurant in the riverside area near Raja Indian Cuisine.	1.0000	1.0000	5.7959	0.5339	0.7666	2.6025
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non-family-friendly french restaurant in the city centre near Raja Indian Cuisine.	0.4038	0.4271	1.6981	0.4354	0.6030	0.8426
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly french restaurant located near Raja Indian Cuisine in the city centre.	0.4875	0.5283	3.4930	0.4359	0.5562	2.0732
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non-family-friendly french restaurant in the riverside area near Raja Indian Cuisine.	0.3992	0.4561	3.3176	0.5083	0.6567	0.8647
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly french restaurant in riverside near Raja Indian Cuisine.	0.5465	0.5640	3.2786	0.3787	0.7523	1.4798
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is a 1 out of 5 rated coffee shop near All Bar One.	0.6632	0.6887	3.2959	0.4912	0.7220	2.4323
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	With a customer rating of 3 out of 5, Green Man is a coffee shop near All Bar One.	0.8118	0.8223	6.3603	0.4826	0.4586	3.0010
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Green Man is a pub near All Bar One. It has a customer rating of 1 out of 5.	0.8154	0.8255	5.9163	0.5408	0.7895	3.1975
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Green Man is a pub near All Bar One with a customer rating of 3 out of 5.	0.9071	0.9126	6.5710	0.4841	0.7993	3.0442
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly italian pub near Express by Holiday Inn in riverside.	0.9802	0.9816	4.5119	0.5453	0.9022	2.3404
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly italian pub in riverside near Raja Indian Cuisine.	0.5606	0.5830	4.3384	0.4120	0.6271	2.6422
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non-family-friendly pub serving japanese food near Express by Holiday Inn in the city centre.	0.6802	0.6906	4.3359	0.5474	0.8599	2.7694
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese pub near Express by Holiday Inn in the city centre.	0.8939	0.9009	4.7273	0.5242	0.8944	4.1653
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a japanese pub near Express by Holiday Inn in the riverside area. It is not family-friendly.	0.6760	0.6959	6.1194	0.4611	0.7407	3.5975
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese pub near Express by Holiday Inn in the riverside area.	0.9494	0.9526	7.0319	0.5218	0.9365	3.5991
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly italian restaurant in riverside near Express by Holiday Inn.	0.9415	0.9457	4.2232	0.5089	0.8580	2.3090
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly italian restaurant in riverside near Raja Indian Cuisine.	0.5606	0.5830	4.3384	0.4120	0.6271	2.6331
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non-family-friendly japanese restaurant in the city centre near Express by Holiday Inn.	0.4483	0.4704	2.9628	0.4416	0.5804	1.5929
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.	0.5857	0.6154	4.5454	0.4768	0.6822	3.7112
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non-family-friendly japanese restaurant near Express by Holiday Inn in the riverside area.	0.5623	0.5975	4.1414	0.4420	0.7423	2.3425
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly japanese restaurant in riverside near Express by Holiday Inn.	0.9802	0.9816	5.2884	0.5287	0.8652	3.0776
name[Loch Fyne], eatType[coffee shop], area[riverside]	In the riverside area, Loch Fyne is a coffee shop.	0.6493	0.6851	4.0145	0.4835	0.7000	4.3564
name[Loch Fyne], eatType[pub], area[riverside]	By the riverside is a pub called Loch Fyne.	0.0001	0.3265	2.6270	0.4279	0.4444	2.7473
name[Strada], eatType[coffee shop], area[city centre]	The city centre is a coffee shop called Strada.	0.7856	0.8133	4.4438	0.4991	0.8342	4.0302
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a 1 out of 5 coffee shop near All Bar One.	0.5743	0.5957	3.0547	0.4812	0.6347	2.3253
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a 1 out of 5 rated coffee shop near Rainbow Vegetarian Café.	0.5119	0.5576	3.9424	0.4378	0.6524	2.7576
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	With a low customer rating, Strada is a coffee shop near Express by Holiday Inn.	0.7524	0.7692	4.9337	0.5628	0.7236	4.8312
name[Strada], eatType[pub], area[city centre]	The pub in the city centre is Strada.	0.5466	0.6148	3.5602	0.3774	0.6216	2.3999
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada is a pub near All Bar One with a customer rating of 1 out of 5.	0.9009	0.9071	5.3198	0.5571	0.8801	3.9674
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.	0.6622	0.6816	5.2999	0.4680	0.6471	3.6042
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada is a pub near Express by Holiday Inn with a low customer rating.	0.6786	0.6995	5.0642	0.5543	0.9215	4.9577
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a child friendly coffee shop near Avalon with a customer rating of 1 out of 5.	0.9554	0.9579	6.9719	0.5961	0.9188	3.2404
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	With a customer rating of 3 out of 5, The Cricketers is a child friendly coffee shop near Avalon.	0.9426	0.9457	7.0159	0.5225	0.7895	3.8298
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a child friendly coffee shop near Crowne Plaza Hotel with a customer rating of 3 out of 5.	1.0000	1.0000	7.1048	0.6062	0.9263	4.5105
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5 and is not family-friendly.	0.7128	0.7263	4.9979	0.5234	0.7827	2.6691
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.	1.0000	1.0000	6.6540	0.5969	0.9739	4.7554
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a coffee shop near Café Sicilia that has an average customer rating and is not family-friendly.	0.4277	0.4618	4.9819	0.4523	0.6316	2.6161
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel that has an average customer rating and is not family-friendly.	0.0000	0.2227	3.6923	0.4316	0.6076	2.3798
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly coffee shop near Café Sicilia. It has an average customer rating.	1.0000	1.0000	7.0064	1.0000	1.0000	3.8174
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a child friendly coffee shop near Café Sicilia with a high customer rating.	1.0000	1.0000	6.2854	0.9842	0.9375	3.6104
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a child friendly coffee shop near Express by Holiday Inn with a high customer rating.	0.9840	0.9850	7.1920	0.5926	0.9145	3.7972
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.	1.0000	1.0000	6.2282	1.0000	1.0000	3.9556
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.	0.7533	0.7680	5.8219	0.5235	0.6788	4.2770
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly coffee shop with a low customer rating near Ranch.	0.9011	0.9084	6.0237	0.5583	0.9273	4.2233
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 1 out of 5.	0.9526	0.9554	7.0243	0.5999	0.9683	3.0362
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a children friendly restaurant near Avalon with a customer rating of 3 out of 5.	0.8551	0.8640	5.9003	0.5140	0.8574	3.5631
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	With a customer rating of 3 out of 5, The Cricketers is a child friendly restaurant near Crowne Plaza Hotel.	0.9866	0.9873	6.8989	0.5874	0.9713	4.3742
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel that has a 5 out of 5 customer rating and is not family-friendly.	0.5482	0.5730	4.8731	0.4792	0.7189	2.2253
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a child friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.8852	0.8915	6.4498	0.5750	0.8698	4.0770
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a restaurant near Café Sicilia that has an average customer rating and is not family-friendly.	0.4342	0.4688	4.9546	0.4429	0.6111	2.5054
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel that has an average customer rating and is not family-friendly.	0.0000	0.2018	3.5475	0.4233	0.6131	2.1961
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly restaurant with an average customer rating near Café Sicilia.	0.9802	0.9816	6.7071	0.5651	0.8610	3.0359
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a child friendly restaurant near Café Sicilia with a high customer rating.	0.9802	0.9816	6.2272	0.9829	0.9333	3.3196
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a kid friendly restaurant near Express by Holiday Inn with a high customer rating.	1.0000	1.0000	7.4345	0.5868	0.9096	3.5197
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a restaurant near Express by Holiday Inn that is not family-friendly and has a low customer rating.	0.8762	0.8827	5.6616	0.6070	0.9500	3.5765
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a restaurant near Ranch that is not family-friendly and has a low customer rating.	0.6269	0.6548	5.7185	0.4721	0.6321	3.5236
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly restaurant with a low customer rating near Ranch.	0.8925	0.9011	6.0850	0.5496	0.9215	3.8524
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.	0.6107	0.6243	5.9223	0.3974	0.6146	1.1982
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing chinese food in the £20-25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.	1.0000	1.0000	7.4435	1.0000	1.0000	2.8851
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.	0.9272	0.9295	6.2835	0.5465	0.9069	3.8603
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.	1.0000	1.0000	5.6467	1.0000	1.0000	6.0494
