MR	output
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant serving Chinese food. It is not family-friendly. It is based in the riverside area near Rainbow Vegetarian Café.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant near Rainbow Vegetarian Café in the riverside area. It is family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non family-friendly English restaurant, just a short distance from Rainbow Vegetarian Café in the city centre area.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice serves English food that is kids-friendly. It is in the city centre area near Rainbow Vegetarian Café.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	English food is available in a non children-friendly restaurant called Blue Spice, near Rainbow Vegetarian Café in the riverside area.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly English restaurant, just a short distance from Rainbow Vegetarian Café in the riverside area.
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is a coffee shop near All Bar One with a rating 3 out of 5.
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	There is a 5 out of 5 stars coffee shop called Clowns located near Crowne Plaza Hotel.
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns is a coffee shop near The Sorrento.
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Near All Bar One is Clowns pub, with a customer rating of 3 out of 5.
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Located near Crowne Plaza Hotel, Clowns pub has a customer rating of 5 out of 5.
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is a pub located a few steps of The Sorrento.
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is a coffee shop located near Burger King with a high customer rating.
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	There is a high-rated coffee shop called Cocum located near Café Sicilia.
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Near Café Sicilia is Cocum coffee shop. It has low customer ratings.
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Cocum coffee shop has a low customer rating and is located near Express by Holiday Inn.
name[Cocum], eatType[coffee shop], near[The Rice Boat]	For a coffee shop near The Rice Boat, try Cocum.
name[Cocum], eatType[coffee shop], near[The Sorrento]	Cocum is a coffee shop found near The Sorrento.
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum is a pub located near Burger King with a high customer rating.
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	There is a high-rated pub called Cocum located near Café Sicilia.
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Near Café Sicilia is Cocum pub. It has low customer ratings.
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum pub has a low customer rating and is located near Express by Holiday Inn.
name[Cocum], eatType[pub], near[The Rice Boat]	Cocum is a pub near The Rice Boat.
name[Cocum], eatType[pub], near[The Sorrento]	Cocum is a pub located a few steps of The Sorrento.
name[Cotto], eatType[coffee shop], near[The Bakers]	For a coffee shop near The Bakers, try Cotto.
name[Cotto], eatType[pub], near[The Bakers]	Cotto is a pub found near The Bakers.
name[Giraffe], eatType[coffee shop], near[The Bakers]	Giraffe is a coffee shop near The Bakers.
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Giraffe is a coffee shop located a few steps of The Rice Boat.
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family-friendly pub. They serve English food and are located near Rainbow Vegetarian Café in the riverside area.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a pub providing fast food. It is located in the city centre area, near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a pub providing fast food. It is located in the city centre area, near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a pub serving fast food. It is not family-friendly. It is based in the riverside area near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a Fast food pub near Rainbow Vegetarian Café in the riverside area. It is family-friendly.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe serves fast food that is kids-friendly. It is in the riverside area near Raja Indian Cuisine.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non family-friendly French pub, just a short distance from Raja Indian Cuisine in the city centre area.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly French pub, just a short distance from Raja Indian Cuisine in the city centre area.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	French food is available in a non children-friendly pub called Giraffe, near Raja Indian Cuisine in the riverside area.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly pub. They serve French food and are located near Raja Indian Cuisine in the riverside area.
name[Giraffe], eatType[pub], near[The Bakers]	For a pub near The Bakers, try Giraffe.
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe is a pub found near The Rice Boat.
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a restaurant providing English food. It is located in the riverside area, near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a restaurant providing fast food. It is located in the city centre area, near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a Fast food restaurant near Rainbow Vegetarian Café in the city centre area. It is family-friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a restaurant serving fast food. It is not family-friendly. It is based in the riverside area near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe serves fast food that is kids-friendly. It is in the riverside area near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly Fast food restaurant, just a short distance from Raja Indian Cuisine in the riverside area.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a non family-friendly French restaurant, just a short distance from Raja Indian Cuisine in the city centre area.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly restaurant. They serve French food and are located near Raja Indian Cuisine in the city centre area.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	French food is available in a non children-friendly restaurant called Giraffe, near Raja Indian Cuisine in the riverside area.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a restaurant providing French food. It is located in the riverside area, near Raja Indian Cuisine.
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One with a rating 1 out of 5.
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	There is a 3 out of 5 stars coffee shop called Green Man located near All Bar One.
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Near All Bar One is Green Man pub, with a customer rating of 1 out of 5.
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Located near All Bar One, Green Man pub has a customer rating of 3 out of 5.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a Italian pub near Express by Holiday Inn in the riverside area. It is family-friendly.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man serves Italian food that is kids-friendly. It is in the riverside area near Raja Indian Cuisine.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a pub providing Japanese food. It is located in the city centre area, near Express by Holiday Inn.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly Japanese pub, just a short distance from Express by Holiday Inn in the city centre area.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a pub serving Japanese food. It is not family-friendly. It is based in the riverside area near Express by Holiday Inn.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly pub. They serve Japanese food and are located near Express by Holiday Inn in the riverside area.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a restaurant providing Italian food. It is located in the riverside area, near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a Italian restaurant near Raja Indian Cuisine in the riverside area. It is family-friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a non family-friendly Japanese restaurant, just a short distance from Express by Holiday Inn in the city centre area.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man serves Japanese food that is kids-friendly. It is in the city centre area near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Japanese food is available in a non children-friendly restaurant called Green Man, near Express by Holiday Inn in the riverside area.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly Japanese restaurant, just a short distance from Express by Holiday Inn in the riverside area.
name[Loch Fyne], eatType[coffee shop], area[riverside]	There is a coffee shop Loch Fyne in the riverside area.
name[Loch Fyne], eatType[pub], area[riverside]	In the riverside area, there is a pub called Loch Fyne.
name[Strada], eatType[coffee shop], area[city centre]	A coffee shop called Strada is located in the city centre area.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a coffee shop near All Bar One with a rating 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	There is a 1 out of 5 stars coffee shop called Strada located near Rainbow Vegetarian Café.
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Strada is a coffee shop located near Express by Holiday Inn with a low customer rating.
name[Strada], eatType[pub], area[city centre]	Strada is a city centre pub.
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Near All Bar One is Strada pub, with a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Located near Rainbow Vegetarian Café, Strada pub has a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	There is a low-rated pub called Strada located near Express by Holiday Inn.
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a coffee shop near Avalon. It has a rating of 1 out of 5 and is children-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	Family-friendly coffee shop The Cricketers is near Avalon and has a customer rating of 3 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It has a rating of 3 out of 5 and is children-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It has a rating of 5 out of 5 and is not children-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	Family-friendly coffee shop The Cricketers is near Crowne Plaza Hotel and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a children-friendly coffee shop near Café Sicilia with an average customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel. It has an average rating and is for adults only.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	Near Café Sicilia you will find a children-friendly coffee shop with an average customer rating called The Cricketers.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family-friendly coffee shop near Café Sicilia. It has a high customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	A family-friendly coffee shop known as The Cricketers is located near Express by Holiday Inn and has a high customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a children-friendly coffee shop near Express by Holiday Inn with a low customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a coffee shop near Ranch. It has a low rating and is for adults only.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a children-friendly coffee shop near a Ranch with a low customer rating.
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a restaurant near Avalon. It has a rating of 1 out of 5 and is children-friendly.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	Family-friendly restaurant The Cricketers is near Avalon and has a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel. It has a rating of 3 out of 5 and is children-friendly.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a children-friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	Family-friendly restaurant The Cricketers is near Crowne Plaza Hotel and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a children-friendly restaurant near Café Sicilia with an average customer rating.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel. It has an average rating and is for adults only.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	Near Café Sicilia you will find a children-friendly restaurant with an average customer rating called The Cricketers.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family-friendly restaurant near Café Sicilia. It has a high customer rating.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	A family-friendly restaurant known as The Cricketers is located near Express by Holiday Inn and has a high customer rating.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a children-friendly restaurant near Express by Holiday Inn with a low customer rating.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a restaurant near Ranch. It has a low rating and is for adults only.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a children-friendly restaurant near a Ranch with a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	£20-25 Chinese food for adults can be found at The Cricketers restaurant, near All Bar One in the city centre area. High ratings.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	£20-25 Chinese food for all the family can be found at The Cricketers restaurant, near All Bar One, in the city centre area. High ratings.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers, located near All Bar One in the riverside area, is a not kid-friendly restaurant. The Cricketers serves £20-25 Chinese food and has a high customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	For a child-friendly, high-rated restaurant serving Chinese, try The Cricketers, in the riverside area, near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a cheap restaurant that serves Chinese food. It is not children-friendly and has a rating of 5 out of 5. It is located in the city centre area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	There is a 5 out of 5 stars cheap family-friendly restaurant The Cricketers near All Bar One in the city centre area. It offers Chinese food.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers, located near All Bar One in the riverside area, is a not kid-friendly restaurant. The Cricketers serves cheap Chinese food and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers, located near All Bar One in the riverside area, is a kid-friendly restaurant. The Cricketers serves cheap Chinese food and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a cheap restaurant that serves Chinese food. It is not children-friendly and has an average customer rating. It is located in the city centre area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a cheap restaurant that serves Chinese food. Yes it is kids-friendly. It has an average customer rating and is located in the city centre area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	Cheap Chinese food for adults can be found at The Cricketers restaurant, near All Bar One in the riverside area. Average ratings.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	Cheap Chinese food for all the family can be found at The Cricketers restaurant, near All Bar One, in the riverside area. Average ratings.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is by All Bar One, in the city centre area. With a 1 out of 5 rating and an adult-only environment, you can get Chinese food at this restaurant.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a high restaurant that serves Chinese food. Yes it is kids-friendly. Its customer rating is 1 out of 5. It is located in the city centre area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a high restaurant that serves Chinese food. It is not children-friendly and has a rating of 1 out of 5. It is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	There is a 1 out of 5 stars high family-friendly restaurant The Cricketers near All Bar One in the riverside area. It offers Chinese food.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers, located near All Bar One in the city centre area, is a not kid-friendly restaurant. The Cricketers serves high Chinese food and has an average customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	For a child-friendly, average-rated restaurant serving Chinese, try The Cricketers, in the city centre area, near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a high restaurant that serves Chinese food. It is not children-friendly and has an average customer rating. It is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a high restaurant that serves Chinese food. Yes it is kids-friendly. It has an average customer rating and is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]	Less than £20 Chinese food for adults can be found at The Cricketers restaurant, near All Bar One in the city centre area. Low ratings.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]	Less than £20 Chinese food for all the family can be found at The Cricketers restaurant, near All Bar One, in the city centre area. Low ratings.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers, located near All Bar One in the riverside area, is a not kid-friendly restaurant. The Cricketers serves less than £20 Chinese food and has a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]	For a child-friendly, low-rated restaurant serving Chinese, try The Cricketers, in the riverside area, near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers, located near All Bar One in the city centre area, is a not kid-friendly restaurant. The Cricketers serves moderate Chinese food and has a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers, located near All Bar One in the city centre area, is a kid-friendly restaurant. The Cricketers serves moderate Chinese food and has a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is by All Bar One, in the riverside area. With a 1 out of 5 rating and an adult-only environment, you can get Chinese food at this restaurant.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a moderate restaurant that serves Chinese food. Yes it is kids-friendly. Its customer rating is 1 out of 5. It is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a moderate restaurant that serves Chinese food. It is not children-friendly and has a rating of 3 out of 5. It is located in the city centre area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	There is a 3 out of 5 stars moderate family-friendly restaurant The Cricketers near All Bar One in the city centre area. It offers Chinese food.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers, located near All Bar One in the riverside area, is a not kid-friendly restaurant. The Cricketers serves moderate Chinese food and has a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers, located near All Bar One in the riverside area, is a kid-friendly restaurant. The Cricketers serves moderate Chinese food and has a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a more than £30 restaurant that serves Chinese food. It is not children-friendly and has a high customer rating. It is located in the city centre area near All Bar One.
