name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop located in the city centre.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly pub serving Fast food in the city centre near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a Fast food pub located in riverside near Rainbow Vegetarian Café it is not family friendly.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly pub serving Fast food in the riverside near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly pub serving Fast food in the riverside near Raja Indian Cuisine.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a French pub located in the city centre near Raja Indian Cuisine it is not family friendly.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly pub serving French food located in the city centre near Raja Indian Cuisine.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a French pub located in the riverside near Raja Indian Cuisine it is not family friendly.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly pub serving French food located in the riverside near Raja Indian Cuisine.
name[Giraffe], eatType[pub], near[The Bakers]	Giraffe pub near The Bakers.
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe pub near The Rice Boat.
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is an English restaurant in riverside near Rainbow Vegetarian Café is a family friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a Fast food restaurant located in the city centre near Rainbow Vegetarian Café it is not family friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a Fast food restaurant in the city centre near Rainbow Vegetarian Café it is family friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a Fast food restaurant located in riverside near Rainbow Vegetarian Café it is not family friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a Fast food restaurant in riverside near Rainbow Vegetarian Café it is family friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a Fast food restaurant in riverside near Raja Indian Cuisine it is family friendly.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a French restaurant in the city centre near Raja Indian Cuisine it is not family friendly.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a French restaurant in the city centre near Raja Indian Cuisine it is family friendly.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a French restaurant located in the riverside near Raja Indian Cuisine it is not family friendly.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a French restaurant in riverside near Raja Indian Cuisine it is family friendly.
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One it has a customer rating of 1 out of 5.
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Green Man near All Bar One is a coffee shop with a customer rating of 3 out of 5.
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Green Man pub near All Bar One with a customer rating of 1 out of 5.
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Green Man pub near All Bar One with a customer rating of 3 out of 5.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly pub Italian located in the riverside near Express by Holiday Inn.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly pub Italian located in the riverside near Raja Indian Cuisine.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a Japanese pub located in the city centre near Express by Holiday Inn it is not family friendly.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly pub serving Japanese food located in the city centre near Express by Holiday Inn.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a Japanese pub located in riverside near Express by Holiday Inn it is not family friendly.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly pub serving Japanese food in the riverside near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is an Italian restaurant in riverside near Express by Holiday Inn is a family friendly.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is an Italian restaurant in riverside near Raja Indian Cuisine is a family friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a Japanese restaurant in the city centre near Express by Holiday Inn it is not family friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a Japanese restaurant that is family friendly it is located in the city centre near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a Japanese restaurant located in riverside near Express by Holiday Inn it is not family friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a Japanese restaurant in riverside near Express by Holiday Inn is a family friendly.
name[Loch Fyne], eatType[coffee shop], area[riverside]	Loch Fyne is a coffee shop located in the riverside area.
name[Loch Fyne], eatType[pub], area[riverside]	Loch Fyne pub located in the riverside area.
name[Strada], eatType[coffee shop], area[city centre]	Strada is a coffee shop located in the city centre.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a coffee shop near All Bar One it has a customer rating of 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a coffee shop near Rainbow Vegetarian Café it has a customer rating of 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Strada is a coffee shop near Express by Holiday Inn it has a low customer rating.
name[Strada], eatType[pub], area[city centre]	Strada pub located in the city centre.
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada pub near All Bar One with a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada pub near Express by Holiday Inn with a low customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly coffee shop near Avalon with a customer rating of 1 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly coffee shop near Avalon with a customer rating of 3 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel with a customer rating of 3 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers near Crowne Plaza Hotel is a coffee shop that is not family friendly and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is an average coffee shop near Café Sicilia it is not family friendly.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is an average coffee shop near Crowne Plaza Hotel it is not family friendly.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers near Café Sicilia and has a customer rating is a family friendly coffee shop.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly coffee shop near Café Sicilia with a high customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a family friendly coffee shop near Express by Holiday Inn with a high customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers near Express by Holiday Inn is a coffee shop with a low customer rating it is not family friendly.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers near Ranch is a coffee shop with a low customer rating it is not family friendly.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly coffee shop near Ranch with a low customer rating.
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly restaurant near Avalon with a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly restaurant near Avalon with a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers near Crowne Plaza Hotel is a restaurant with a customer rating of 5 out of 5 and is not family friendly.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly restaurant near Crowne Plaza Hotel has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers near Café Sicilia has an average customer rating it is not family friendly restaurant.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers near Crowne Plaza Hotel has an average customer rating it is not family friendly restaurant.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers near Café Sicilia is a family friendly restaurant with an average customer rating.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly restaurant near Café Sicilia has a high customer rating.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a family friendly restaurant near Express by Holiday Inn has a high customer rating.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers near Express by Holiday Inn is a restaurant with a low customer rating it is not family friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers near Ranch is a restaurant with a low customer rating it is not family friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly restaurant near Ranch with a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and has a high customer rating it is located in the city centre near All Bar One it is not kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and has a high customer rating it is kid friendly near All Bar One in the city centre.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and has a high customer rating it is located in the riverside near All Bar One it is not kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and has a high customer rating it is kid friendly located in the riverside near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a cheap Chinese restaurant in the city centre near All Bar One it has a customer rating of 5 out of 5 is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a cheap family friendly Chinese restaurant in the city centre near All Bar One it has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a cheap Chinese restaurant in riverside near All Bar One it has a customer rating of 5 out of 5 is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a cheap family friendly Chinese restaurant in riverside near All Bar One and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a cheap Chinese restaurant in the city centre near All Bar One it has an average customer rating it is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a cheap family friendly Chinese restaurant in the city centre near All Bar One it has an average customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a cheap Chinese restaurant in riverside near All Bar One it has an average customer rating it is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a cheap family friendly Chinese restaurant in riverside near All Bar One and has an average customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a high price range it is located in the city centre near All Bar One it has a customer rating of 1 out of 5 and is not children friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers serves Chinese food in the high price range it is located in the city centre near All Bar One it is a children friendly restaurant with a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a high price range it is located in the riverside near All Bar One it has a customer rating of 1 out of 5 is not children friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers serves Chinese food in the high price range it is located in the riverside near All Bar One it has a customer rating of 1 out of 5 a children friendly restaurant.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese food in the high price range it is located in the city centre near All Bar One it has an average customer rating it is not children friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese food in the high price range it is located in the city centre near All Bar One it has an average customer rating it is a family friendly restaurant.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a high price range it has an average customer rating it is located in the riverside near All Bar One it is not children friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers serves Chinese food in the high price range it is located in the riverside near All Bar One and has an average customer rating it is a children friendly restaurant.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of less than £20 it is located in the city centre near All Bar One it has a low customer rating it is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of less than £20 it has a low customer rating it is family friendly it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of less than £20 it has a low customer rating located in riverside near All Bar One it is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of less than £20 it has a low customer rating located in riverside near All Bar One is family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a moderate price range it is located in the city centre near All Bar One it has a customer rating of 1 out of 5 it is not kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a moderately priced Chinese restaurant in the city centre near All Bar One it is kid friendly but has a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers serves Chinese food in the moderate price range it is located in the riverside near All Bar One it has a customer rating of 1 out of 5 it is not kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a moderately priced Chinese restaurant in riverside near All Bar One has a customer rating of 1 out of 5 friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a moderately priced Chinese restaurant in the city centre near All Bar One it has a customer rating of 3 out of 5 and is not kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a moderately priced Chinese restaurant in the city centre near All Bar One it is kid friendly with a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a moderately priced Chinese restaurant in riverside near All Bar One it has a customer rating of 3 out of 5 and is not kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a moderately priced Chinese restaurant in riverside near All Bar One has a customer rating of 3 out of 5 friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and a high customer rating it is not child friendly it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and has a high customer rating it is children friendly located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and has a high customer rating it is located in the riverside near All Bar One it is not children friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of more than £30 and has a high customer rating it is children friendly located in the riverside near All Bar One.
name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is an English restaurant in the city centre near All Bar One it has a price range of 20-25 and has a high customer rating it is not kid friendly.
