name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop in the city centre.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly pub serving Fast food it is located in the riverside area near Raja Indian Cuisine.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a pub that serves French food in the city centre near Raja Indian Cuisine it is not family-friendly.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly pub serving French food in the city centre near Raja Indian Cuisine.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a pub that serves French food it is located in the riverside area near Raja Indian Cuisine it is not family-friendly.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly pub serving French food it is located in the riverside area near Raja Indian Cuisine.
name[Giraffe], eatType[pub], near[The Bakers]	Giraffe is a pub near The Bakers.
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe is a pub near The Rice Boat.
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly restaurant serving English food in the riverside area near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a restaurant that serves Fast food it is located in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly restaurant that serves Fast food it is located in the city centre near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a restaurant that serves Fast food it is located in the riverside area near Rainbow Vegetarian Café it is not family-friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly restaurant that serves Fast food it is located in the riverside area near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly restaurant that serves Fast food it is located in the riverside area near Raja Indian Cuisine.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a restaurant that serves French food in the city centre near Raja Indian Cuisine it is not family-friendly.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly restaurant serving French food in the city centre near Raja Indian Cuisine.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a restaurant near Raja Indian Cuisine in the riverside area it is not family-friendly.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly restaurant serving French food it is located in the riverside area near Raja Indian Cuisine.
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One it has a customer rating of 1 out of 5.
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Green Man is a coffee shop near All Bar One it has a customer rating of 3 out of 5.
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Green Man is a pub near All Bar One it has a customer rating of 1 out of 5.
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Green Man is a pub near All Bar One it has a customer rating of 3 out of 5.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly pub serving Italian food in the riverside area near Express by Holiday Inn.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly pub serving Italian food in the riverside area near Raja Indian Cuisine.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a pub that serves Japanese food in the city centre near Express by Holiday Inn it is not family-friendly.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly pub serving Japanese food in the city centre near Express by Holiday Inn.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a pub that serves Japanese food in the riverside area near Express by Holiday Inn it is not family-friendly.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly pub serving Japanese food in the riverside area near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly restaurant that serves Italian food in the riverside area near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly restaurant that serves Italian food in the riverside area near Raja Indian Cuisine.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a restaurant that serves Japanese food in the city centre near Express by Holiday Inn it is not family-friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly restaurant serving Japanese food in the city centre near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Green Man is a restaurant near Express by Holiday Inn in the riverside area Japanese food and is not family-friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly restaurant serving Japanese food in the riverside area near Express by Holiday Inn.
name[Loch Fyne], eatType[coffee shop], area[riverside]	Loch Fyne is a coffee shop in the riverside area.
name[Loch Fyne], eatType[pub], area[riverside]	Loch Fyne is a pub located in the riverside area.
name[Strada], eatType[coffee shop], area[city centre]	Strada is a coffee shop in the city centre.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a coffee shop near All Bar One it has a customer rating of 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a coffee shop near Rainbow Vegetarian Café it has a customer rating of 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Strada is a coffee shop near Express by Holiday Inn it has a low customer rating.
name[Strada], eatType[pub], area[city centre]	Strada is a pub located in the city centre.
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada is a pub near All Bar One it has a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a pub near Rainbow Vegetarian Café it has a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada is a pub near Express by Holiday Inn it has a low customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly coffee shop near Avalon it has a customer rating of 1 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly coffee shop near Avalon it has a customer rating of 3 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel it has a customer rating of 3 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel it has a customer rating of 5 out of 5 and is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel it has a customer rating of 5 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a coffee shop near Café Sicilia it has an average customer rating it is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a coffee shop near Crowne Plaza Hotel it has an average customer rating it is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly coffee shop near Café Sicilia it has an average customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly coffee shop near Café Sicilia it has a high customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a family friendly coffee shop near Express by Holiday Inn it has a high customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a coffee shop near Express by Holiday Inn it has a low customer rating and is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a coffee shop near Ranch it has a low customer rating and is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly coffee shop near Ranch it has a low customer rating.
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly restaurant with a customer rating of 1 out of 5 it is located near Avalon.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a family friendly restaurant near Avalon it has a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly restaurant near Crowne Plaza Hotel it has a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel it has a customer rating of 5 out of 5 and is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly restaurant with a customer rating of 5 and is located near Crowne Plaza Hotel.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Cricketers is a restaurant near Café Sicilia it has an average customer rating it is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a restaurant near Crowne Plaza Hotel it has an average customer rating it is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly restaurant with an average customer rating it is located near Café Sicilia.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly restaurant with a high customer rating it is located near Café Sicilia.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a family friendly restaurant with a high customer rating it is located near Express by Holiday Inn.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a restaurant near Express by Holiday Inn it has a low customer rating and is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a restaurant near Ranch it has a low customer rating and is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly restaurant near Ranch it has a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the £20-25 it has a high customer rating and is not kid friendly it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant near All Bar One in the city centre it has a high customer rating, a price range of £20-25 and is kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the £20-25 it has a high customer rating and is not kid friendly it is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the £20-25 it has a high customer rating and is kid friendly it is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the cheap price range it is located in the city centre near All Bar One it has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a cheap price range, a customer rating of 5 out of 5 and is family friendly it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the cheap price range it is located in the riverside area near All Bar One its customer rating is 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the cheap price range it is located in the riverside area near All Bar One its customer rating is 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the cheap price range it is located in the city centre near All Bar One it has an average customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a cheap price range and has an average customer rating it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the cheap price range it is located in the riverside it is near All Bar One its customer rating is average.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the cheap price range it is located in the riverside it is near All Bar One its customer rating is average.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the high price range it is located in the city centre near All Bar One it has a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant with a high price range it has a customer rating of 1 out of 5 and is kid friendly it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the high price range it is located in the riverside area near All Bar One it has a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the high price range it is located in the riverside area near All Bar One its customer rating is 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant near All Bar One in the city centre it has an average customer rating and a high price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant near All Bar One in the city centre it has an average customer rating and a high price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the high price range it is located in the riverside area near All Bar One it has an average customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the high price range it is located in the riverside area near All Bar One its customer rating is average.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the less than £20 it is located in the city centre near All Bar One it has a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the less than £20 it is located in the city centre near All Bar One it has a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the less than £20 it is located in the riverside area near All Bar One it has a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the less than £20 it is located in the riverside area near All Bar One its customer rating is low.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it has a customer rating of 1 out of 5 it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it has a customer rating of 1 out of 5 it is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it has a customer rating of 5 it is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it has a customer rating of 1 out of 5 it is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it is located in the city centre near All Bar One it has a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it has a customer rating of 3 out of 5, is kid friendly and is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it is located in the riverside area near All Bar One it has a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the moderate price range it has a customer rating of 3 out of 5, is kid friendly and is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant that serves Chinese food in the more than £30 it is located in the city centre near All Bar One its customer rating is high.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a Chinese restaurant near All Bar One in the city centre it has a high customer rating and a price range of more than £30 it is children friendly.
