name[Blue Spice], eatType[coffee shop], area[city centre]	In the city centre is a coffee shop named Blue Spice.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café is a family friendly Fast food restaurant called Giraffe.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, near Raja Indian Cuisine, is a family friendly Fast food restaurant called Giraffe.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, there is a French restaurant called Giraffe. It is not family-friendly.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a French restaurant called Giraffe. It is family friendly.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a French restaurant called Giraffe. It is not family-friendly.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, near Raja Indian Cuisine, is a French restaurant called Giraffe. It is family friendly.
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	For a coffee shop near All Bar One is Green Man.
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	For a coffee shop near All Bar One is Green Man.
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	For a pub near All Bar One, Green Man is a pub.
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	For a pub near All Bar One, Green Man is a pub.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a family friendly pub called Green Man.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	For a family friendly pub serving Italian food, Green Man is located near Raja Indian Cuisine.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a Japanese pub called Green Man. It is not family-friendly.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a family-friendly pub called Green Man.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Near the Express by Holiday Inn, there is a pub called Green Man. It serves Japanese food and is not family-friendly.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a family friendly pub called Green Man.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	For a family friendly Italian restaurant, Green Man, is located near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, near Raja Indian Cuisine, is a family friendly restaurant called Green Man.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre near Express by Holiday Inn, there is a Japanese restaurant called Green Man. It is not family-friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre near Express by Holiday Inn is a Japanese restaurant called Green Man. It is family friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Near the Express by Holiday Inn, there is a Japanese restaurant called Green Man. It is not family-friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Near the Express by Holiday Inn is a family friendly restaurant called Green Man.
name[Loch Fyne], eatType[coffee shop], area[riverside]	For a coffee shop in the riverside area, Loch Fyne is a coffee shop.
name[Loch Fyne], eatType[pub], area[riverside]	For a pub in the riverside area, Loch Fyne is a pub.
name[Strada], eatType[coffee shop], area[city centre]	In the city centre is a coffee shop called Strada.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	For a coffee shop near All Bar One is Strada.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	For a coffee shop near Rainbow Vegetarian Café is Strada.
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	For a coffee shop near Express by Holiday Inn is Strada.
name[Strada], eatType[pub], area[city centre]	In the city centre is a pub called Strada.
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	For a pub near All Bar One, Strada is a pub.
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	For a pub near Rainbow Vegetarian Café, Strada is a pub.
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	For a pub near Express by Holiday Inn, Strada is a pub.
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	For a family friendly coffee shop near Avalon.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	For a family friendly coffee shop near Avalon.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	For a family friendly coffee shop near Crowne Plaza Hotel.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	For a coffee shop with a non-friendly environment and is near Crowne Plaza Hotel.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	For a family friendly coffee shop near Crowne Plaza Hotel.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	For a coffee shop near Café Sicilia, is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	For a coffee shop with a non-friendly environment and is near Crowne Plaza Hotel.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	For a family friendly coffee shop near Café Sicilia.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	For a family friendly coffee shop near Café Sicilia.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	For a family friendly coffee shop near Express by Holiday Inn.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	Near Express by Holiday Inn is a coffee shop that is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	For a coffee shop with a non-friendly environment and is near Ranch.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	For a family friendly coffee shop near Ranch.
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	For a family friendly restaurant, The Cricketers is located near Avalon.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	For a family friendly restaurant, The Cricketers is located near Avalon.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	For a family friendly restaurant, The Cricketers is located near Crowne Plaza Hotel.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	There is a restaurant near Crowne Plaza Hotel, The Cricketers is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	For a family friendly restaurant, The Cricketers is located near Crowne Plaza Hotel.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	For a restaurant with a non-friendly environment and is near Café Sicilia.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	There is a restaurant near Crowne Plaza Hotel, The Cricketers is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	For a family friendly restaurant, The Cricketers is located near Café Sicilia.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	For a family friendly restaurant, The Cricketers is located near Café Sicilia.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	For a family friendly restaurant, The Cricketers is located near Express by Holiday Inn.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	There is a restaurant near Express by Holiday Inn, The Cricketers is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	There is a restaurant near Ranch, The Cricketers is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	For a family friendly restaurant, The Cricketers is a restaurant.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, is a Chinese restaurant called The Cricketers. It is not kid friendly and has a price range of £20-25.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	In the city centre, near All Bar One, is a kid friendly Chinese restaurant called The Cricketers. It is in the £20-25 price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	In the riverside area, The Cricketers is a Chinese restaurant with a price range of £20-25. It is not kid friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	Near the All Bar One, there is a kid friendly Chinese restaurant called The Cricketers. It is in the £20-25 price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, there is a cheap Chinese restaurant called The Cricketers. It is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	There is a cheap Chinese restaurant in the city centre, near All Bar One called The Cricketers. It is family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	In the riverside area near All Bar One, there is a cheap Chinese restaurant called The Cricketers. It is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	There is a cheap Chinese restaurant called The Cricketers, located near All Bar One in the riverside area. It is family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, there is a cheap Chinese restaurant called The Cricketers. It is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	In the city centre, near All Bar One, is a cheap Chinese restaurant called The Cricketers. It is family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	Near All Bar One, there is a cheap restaurant that serves Chinese food. It is called The Cricketers.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	There is a cheap Chinese restaurant called The Cricketers, near All Bar One in riverside.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, there is a Chinese restaurant called The Cricketers. It is not child friendly and has a high price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	In the city centre, near All Bar One, there is a high priced Chinese restaurant called The Cricketers. It is child friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	Near the All Bar One, there is a high priced Chinese restaurant called The Cricketers. It is not child friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	There is a high priced Chinese restaurant in the riverside area near All Bar One called The Cricketers.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, there is a Chinese restaurant called The Cricketers. It is not child friendly and has a high price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	There is a high priced Chinese restaurant called The Cricketers. It is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	There is a high priced Chinese restaurant in the riverside area near All Bar One. It is called The Cricketers.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	Near the All Bar One is a high priced restaurant that is family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, is a Chinese restaurant called The Cricketers. It is not family friendly and has a price range of less than £20.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]	There is a family friendly Chinese restaurant called The Cricketers, near All Bar One in the city centre. It is a family friendly restaurant.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]	Near the All Bar One, there is a Chinese restaurant called The Cricketers. It is not family friendly and has a price range of less than £20.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]	For a family friendly Chinese restaurant, The Cricketers, is located near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, there is a Chinese restaurant called The Cricketers. It is not kid friendly and has a moderate price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	There is a kid friendly Chinese restaurant called The Cricketers in the city centre near All Bar One. It is moderately priced.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	There is a Chinese restaurant called The Cricketers in riverside near All Bar One. It is not kid friendly and has a moderate price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	There is a kid friendly Chinese restaurant called The Cricketers in riverside near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	There is a Chinese restaurant called The Cricketers in the city centre, near All Bar One, is not kid friendly and has a moderate price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	There is a Chinese restaurant called The Cricketers in the city centre, near All Bar One. It is kid friendly and has a moderate price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant in the riverside area near All Bar One. It is not kid friendly and has a moderate price range.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	There is a kid friendly Chinese restaurant called The Cricketers in riverside near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, there is a Chinese restaurant called The Cricketers. It is not child friendly and has a price range of more than £30.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	In the city centre, near All Bar One, is a Chinese restaurant called The Cricketers. It is a child friendly restaurant with a price range of more than £30.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	Near the All Bar One, there is a Chinese restaurant called The Cricketers. It is not child friendly and has a price range of more than £30.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	Near All Bar One, there is a Chinese restaurant called The Cricketers. It is a child friendly restaurant with a price range of more than £30.
name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	In the city centre, near All Bar One, is a restaurant called The Cricketers. It serves English food and is not kid friendly and has a price range of £20-25.
name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	In the city centre near All Bar One is a kid friendly restaurant called The Cricketers. It serves English food and has a price range of £20-25.
name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	In the riverside area, near All Bar One, is a restaurant called The Cricketers. It serves English food and is not kid friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	In the riverside area near All Bar One is a kid friendly restaurant called The Cricketers. It serves English food and has a price range of £20-25.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre, near Café Rouge, is a cheap restaurant called The Cricketers. It serves English food and is not family-friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre, near Café Rouge, is a cheap restaurant called The Cricketers. It serves English food and is family-friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge, is a cheap restaurant called The Cricketers. It serves English food and is not family-friendly.
