MR	ref
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	The Green Man is a family-friendly restaurant serving Japanese food in the city centre near Express by Holiday Inn.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	The Green Man is a Japanese restaurant located in the riverside area near the Express by Holiday Inn. It is not family-friendly.
name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly Japanese restaurant near the Express by Holiday Inn in the riverside area.
name[Loch Fyne], eatType[coffee shop], area[riverside]	Loch Fyne is a riverside coffee shop that serves Japanese food.
name[Loch Fyne], eatType[pub], area[riverside]	A pub named Loch Fyne is located in the riverside area.
name[Strada], eatType[coffee shop], area[city centre]	Located in the city centre, Strada is a coffee shop with a customer rating of 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	Strada is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a coffee shop near Rainbow Vegetarian Café with a customer rating of 1 out of 5.
name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Near the Express by Holiday Inn is a low rated coffee shop named Strada.
name[Strada], eatType[pub], area[city centre]	The pub, Strada, is located in the city centre.
name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]	Strada is a pub near All Bar One with a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]	Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.
name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Strada is a low rated pub near Express by Holiday Inn.
name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly coffee shop near Avalon. It has a customer rating of 1 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly coffee shop near Avalon. It has a customer rating of 3 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a kid friendly coffee shop near Crowne Plaza Hotel with a customer rating of 3 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a non family-friendly coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]	The adult-friendly coffee shop, The Punter, has an average customer rating and is located near Café Sicilia.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Cricketers is a non family-friendly coffee shop near Crowne Plaza Hotel with an average customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]	The Cricketers is a family friendly coffee shop near Café Sicilia with an average customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]	The child friendly coffee shop, The Punter, has a high customer rating and is located near Café Sicilia.
name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The child friendly coffee shop, The Wrestlers, is located near Express by Holiday Inn and has a high customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a low rated coffee shop near Express by Holiday Inn. It is not family-friendly.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.
name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly coffee shop near Ranch with a low customer rating.
name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]	The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 1 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]	Located near Avalon, The Cricketers is a kid friendly restaurant with a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a kid friendly restaurant near the Crowne Plaza Hotel with a customer rating of 3 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]	The highly rated restaurant The Cricketers is located near Crowne Plaza Hotel and is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]	The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]	The Café Sicilia is an average rated restaurant called The Cricketers. It is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]	The Crowne Plaza Hotel is an average rated restaurant called The Cricketers. It is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]	Located near Café Sicilia, The Cricketers is a family friendly restaurant with an average customer rating.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]	Located near Café Sicilia, The Cricketers is a child friendly restaurant with a high customer rating.
name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]	The Cricketers is a child friendly restaurant with a high customer rating. It is located near Express by Holiday Inn.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]	The Cricketers is a restaurant near Express by Holiday Inn. It is not family-friendly and has a low customer rating.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]	The Cricketers is a low rated restaurant near Ranch. It is not family-friendly.
name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]	The Cricketers is a family friendly restaurant near Ranch with a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Wrestlers is a restaurant providing Chinese food in the £20-25 price range. It is located in the city centre and is near All Bar One. Its customer rating is high.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Wrestlers is a restaurant providing Chinese food in the £20-25 price range. It is located in the city centre and is near All Bar One. Its customer rating is high.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a price range of £20-25. It has a high customer rating and is not kid friendly. It is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the £20-25 price range. It is located in the riverside and is near All Bar One. Its customer rating is high.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Wrestlers is a cheap Chinese restaurant located in the city centre near All Bar One. It has a customer rating of 5 out of 5 and is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Wrestlers is a family friendly Chinese restaurant with a cheap price range. It is located in the city centre near All Bar One and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a cheap Chinese restaurant with a 5 out of 5 customer rating. It is located in the riverside area near All Bar One and is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a family friendly Chinese restaurant with a cheap price range. It is located in the riverside area near All Bar One and has a customer rating of 5 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Wrestlers is a cheap Chinese restaurant located in the city centre near All Bar One. It has an average customer rating and is not family friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	The Wrestlers is a family friendly Chinese restaurant with a cheap price range and an average customer rating. It is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a cheap price range. It has an average customer rating and is not family friendly. It is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a family friendly Chinese restaurant with a cheap price range and an average customer rating. It is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Wrestlers is a Chinese restaurant in the city centre near All Bar One. It has a high price range and a customer rating of 1 out of 5. It is not children friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Wrestlers is a restaurant providing Chinese food in the high price range. It is located in the city centre and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the high price range. It is located in the riverside and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the high price range. It is located in the riverside and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a high priced Chinese restaurant with an average customer rating. It is located in the city centre near All Bar One and is not child friendly.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the high price range. It is located in the city centre and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the high price range. It is located in the riverside and is near All Bar One. Its customer rating is average.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the high price range. It is located in the riverside and is near All Bar One. Its customer rating is average.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It is not family friendly and has a low customer rating.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]	The Wrestlers is a family friendly Chinese restaurant with a low customer rating. It is located in the city centre near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant in the low price range. It is located near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a family friendly Chinese restaurant with a price range less than £20. It has a low customer rating and is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Wrestlers is a restaurant providing Chinese food in the moderate price range. It is located in the city centre and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Wrestlers is a restaurant providing Chinese food in the moderate price range. It is located in the city centre and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a Chinese restaurant with a moderate price range. It has a customer rating of 1 out of 5 and is not kid friendly. It is located in the riverside area near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the moderate price range. It is located in the riverside and is near All Bar One. Its customer rating is 1 out of 5.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]	The Wrestlers is a restaurant providing Chinese food in the moderate price range. It is located in the city centre and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]	The Wrestlers is a restaurant providing Chinese food in the moderate price range. It is located in the city centre and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the moderate price range. It is located in the riverside and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the moderate price range. It is located in the riverside and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the more than £30 price range. It is located in the city centre and is near All Bar One.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the more than £30 price range. It is located in the city centre and is near All Bar One. Its customer rating is high.
name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]	The Cricketers is a restaurant providing Chinese food in the more than £30 price range. It is located in the riverside and is near All Bar One. Its customer rating is high.
